"For shame!"	crosswordtracker.com/clue/for-shame/
It's usually first into the tub	http://www.crosswordgiant.com/crossword-clue/403215/Its-usually-first-into-the-tub
Word with hold or nail	http://www.crosswordgiant.com/crossword-clue/406143/Word-with-hold-or-nail
Bathtime tester	http://www.crosswordgiant.com/crossword-clue/408307/Bathtime-tester
The third of three X's	http://www.crosswordgiant.com/crossword-clue/408983/The-third-of-three-Xs
Gout target, often	http://www.crosswordgiant.com/crossword-clue/411022/Gout-target-often
One of a rhino's 12	http://www.crosswordgiant.com/crossword-clue/413704/One-of-a-rhinos-12
Water temperature gauge, sometimes	http://www.crosswordgiant.com/crossword-clue/414507/Water-temperature-gauge-sometimes
AKA Hector (Blake)	http://www.crosswordgiant.com/crossword-clue/425359/AKA-Hector-Blake
Certain limb's end	http://www.crosswordgiant.com/crossword-clue/426201/Certain-limbs-end
Water-temperature gauge	http://www.crosswordgiant.com/crossword-clue/437963/Water-temperature-gauge
Kicker's digit?	http://www.crosswordgiant.com/crossword-clue/444466/Kickers-digit
Pedal part	http://www.crosswordgiant.com/crossword-clue/447331/Pedal-part
Head's opposite	http://www.crosswordgiant.com/crossword-clue/448188/Heads-opposite
Oft-tapped item	http://www.crosswordgiant.com/crossword-clue/452255/Oft-tapped-item
Shoe's end	http://www.crosswordgiant.com/crossword-clue/452573/Shoes-end
Polish target, perhaps	http://www.crosswordgiant.com/crossword-clue/452757/Polish-target-perhaps
One little piggy	http://www.crosswordgiant.com/crossword-clue/453880/One-little-piggy
Place for polish	http://www.crosswordgiant.com/crossword-clue/459682/Place-for-polish
Piggy who went to market, e.g.	http://www.crosswordgiant.com/crossword-clue/468106/Piggy-who-went-to-market-e.g
Foot end	http://www.crosswordgiant.com/crossword-clue/475915/Foot-end
Polish site	http://www.crosswordgiant.com/crossword-clue/485193/Polish-site
Terminal digit	http://www.crosswordgiant.com/crossword-clue/487603/Terminal-digit
Pirouetter's pivot	http://www.crosswordgiant.com/crossword-clue/491250/Pirouetters-pivot
One O of OOO	http://www.crosswordgiant.com/crossword-clue/494598/One-O-of-OOO
Shoe's tip	http://www.crosswordgiant.com/crossword-clue/495785/Shoes-tip
Word with tapper	http://www.crosswordgiant.com/crossword-clue/504701/Word-with-tapper
Baby's ''piggy''	http://www.crosswordgiant.com/crossword-clue/513923/Babys-piggy
Ballerina's digit	http://www.crosswordgiant.com/crossword-clue/521659/Ballerinas-digit
Sock end	http://www.crosswordgiant.com/crossword-clue/525309/Sock-end
Piggy, e.g.	http://www.crosswordgiant.com/crossword-clue/526612/Piggy-e.g
Foot ending	http://www.crosswordgiant.com/crossword-clue/531684/Foot-ending
Obey, with 'the line'	http://www.crosswordgiant.com/crossword-clue/560198/Obey-with-the-line
Beat tapper	http://www.crosswordgiant.com/crossword-clue/563435/Beat-tapper
The end of Italy, shapewise	http://www.crosswordgiant.com/crossword-clue/566579/The-end-of-Italy-shapewise
It can be painful when corny	http://www.crosswordgiant.com/crossword-clue/583682/It-can-be-painful-when-corny
Foot feature with phalanges	http://www.crosswordgiant.com/crossword-clue/587404/Foot-feature-with-phalanges
Word with ''hold'' or ''nail''	http://www.crosswordgiant.com/crossword-clue/589934/Word-with-hold-or-nail
Big ___ (body part)	http://www.crosswordgiant.com/crossword-clue/598441/Big-___-body-part
Word with ''tapper''	http://www.crosswordgiant.com/crossword-clue/601122/Word-with-tapper
__ the line: conform	http://www.crosswordgiant.com/crossword-clue/610238/__-the-line-conform
Place for a Dr. Scholl's pad	http://www.crosswordgiant.com/crossword-clue/616282/Place-for-a-Dr.-Scholls-pad
Occasional tapper	http://www.crosswordgiant.com/crossword-clue/619740/Occasional-tapper
Wingtip section	http://www.crosswordgiant.com/crossword-clue/624264/Wingtip-section
First thing in the water, usually	http://www.crosswordgiant.com/crossword-clue/625479/First-thing-in-the-water-usually
Stocking's end	http://www.crosswordgiant.com/crossword-clue/633758/Stockings-end
One may be stubbed	http://www.crosswordgiant.com/crossword-clue/652116/One-may-be-stubbed
Lou "The __" Groza, memorable NFL placekicker	http://www.crosswordgiant.com/crossword-clue/661109/Lou-The-__-Groza-memorable-NFL-placekicker
Last of three X's	http://www.crosswordgiant.com/crossword-clue/667177/Last-of-three-Xs
A minimus is the smallest one	http://www.crosswordgiant.com/crossword-clue/673505/A-minimus-is-the-smallest-one
Stocking's end	http://www.crosswordgiant.com/crossword-clue/678672/Stockings-end
It has a nail	http://www.crosswordgiant.com/crossword-clue/683487/It-has-a-nail
It may provide one's sole support	http://www.crosswordgiant.com/crossword-clue/686314/It-may-provide-ones-sole-support
Crude thermometer in the pool?	http://www.crosswordgiant.com/crossword-clue/686334/Crude-thermometer-in-the-pool
Minimus, e.g.	http://www.crosswordgiant.com/crossword-clue/693694/Minimus-e.g
Winning X	http://www.crosswordgiant.com/crossword-clue/707724/Winning-X
Stubbed part	http://www.crosswordgiant.com/crossword-clue/710664/Stubbed-part
Body part with a nail	http://www.crosswordgiant.com/crossword-clue/720584/Body-part-with-a-nail
Important part for a jig	http://www.crosswordgiant.com/crossword-clue/729663/Important-part-for-a-jig
Nether digit	http://www.crosswordgiant.com/crossword-clue/731694/Nether-digit
46-Across part	http://www.crosswordgiant.com/crossword-clue/731912/46-Across-part
Lower extremity	http://www.crosswordgiant.com/crossword-clue/731973/Lower-extremity
Bad dancer's target	http://www.crosswordgiant.com/crossword-clue/734214/Bad-dancers-target
Boot feature	http://www.crosswordgiant.com/crossword-clue/735182/Boot-feature
__ the line	http://www.crosswordgiant.com/crossword-clue/735540/__-the-line
Big and little digit	http://www.crosswordgiant.com/crossword-clue/741063/Big-and-little-digit
Tot's ''little piggie''	http://www.crosswordgiant.com/crossword-clue/746286/Tots-little-piggie
Chipped part of a statue, maybe	http://www.crosswordgiant.com/crossword-clue/746753/Chipped-part-of-a-statue-maybe
44-Down end	http://www.crosswordgiant.com/crossword-clue/747342/44-Down-end
___ loop (skating move)	http://www.crosswordgiant.com/crossword-clue/748039/___-loop-skating-move
Podiatrist's concern	http://www.crosswordgiant.com/crossword-clue/748506/Podiatrists-concern
Turf ___ (football player's malady)	http://www.crosswordgiant.com/crossword-clue/750956/Turf-___-football-players-malady
Turf ___ (football player's malady)	http://www.crosswordgiant.com/crossword-clue/752442/Turf-___-football-players-malady
Musician's tapper	http://www.crosswordgiant.com/crossword-clue/753815/Musicians-tapper
Something nailed	http://www.crosswordgiant.com/crossword-clue/755952/Something-nailed
Nail spot	http://www.crosswordgiant.com/crossword-clue/762145/Nail-spot
"Piggy"	http://www.crosswordgiant.com/crossword-clue/763696/Piggy
Tot's ''little piggie''	http://www.crosswordgiant.com/crossword-clue/771578/Tots-little-piggie
Third X in a game	http://www.crosswordgiant.com/crossword-clue/772022/Third-X-in-a-game
___ loop (skater's jump)	http://www.crosswordgiant.com/crossword-clue/777493/___-loop-skaters-jump
Sight in a sandal	http://www.crosswordgiant.com/crossword-clue/784248/Sight-in-a-sandal
Podiatrist's concern	http://www.crosswordgiant.com/crossword-clue/798631/Podiatrists-concern
Pavlova's pivot	http://www.crosswordgiant.com/crossword-clue/799606/Pavlovas-pivot
Pirouette pivot point	http://www.crosswordgiant.com/crossword-clue/801148/Pirouette-pivot-point
Place for polish, perhaps	http://www.crosswordgiant.com/crossword-clue/811652/Place-for-polish-perhaps
Ballerina's pivot	http://www.crosswordgiant.com/crossword-clue/815540/Ballerinas-pivot
It may have a painted nail	http://www.crosswordgiant.com/crossword-clue/815792/It-may-have-a-painted-nail
Ring site, perhaps	http://www.crosswordgiant.com/crossword-clue/820708/Ring-site-perhaps
Ballet pivot	http://www.crosswordgiant.com/crossword-clue/821372/Ballet-pivot
Water-testing digit	http://www.crosswordgiant.com/crossword-clue/823662/Water-testing-digit
___ the line (obey)	http://www.crosswordgiant.com/crossword-clue/830839/___-the-line-obey
Stocking's tip	http://www.crosswordgiant.com/crossword-clue/831246/Stockings-tip
Bodily digit	http://www.crosswordgiant.com/crossword-clue/835007/Bodily-digit
Bunion's place	http://www.crosswordgiant.com/crossword-clue/841287/Bunions-place
Nail or loop preceder	http://www.crosswordgiant.com/crossword-clue/844668/Nail-or-loop-preceder
Head's opposite	http://www.crosswordgiant.com/crossword-clue/845079/Heads-opposite
Sock tip	http://www.crosswordgiant.com/crossword-clue/848166/Sock-tip
It's often pointed in gymnastics	http://www.crosswordgiant.com/crossword-clue/848194/Its-often-pointed-in-gymnastics
Sock's end	http://www.crosswordgiant.com/crossword-clue/851556/Socks-end
"The __": placekicker Lou Groza's nickname	http://www.crosswordgiant.com/crossword-clue/852320/The-__-placekicker-Lou-Grozas-nickname
It's usually first into the tub	http://www.crosswordgiant.com/crossword-clue/863434/Its-usually-first-into-the-tub
One on the Statue of Liberty is almost three feet long	http://www.crosswordgiant.com/crossword-clue/863893/One-on-the-Statue-of-Liberty-is-almost-three-feet-long
Polish place, perhaps	http://www.crosswordgiant.com/crossword-clue/866489/Polish-place-perhaps
Word after big, middle, or little	http://www.crosswordgiant.com/crossword-clue/879530/Word-after-big-middle-or-little
Common gout site	http://www.crosswordgiant.com/crossword-clue/885325/Common-gout-site
Big or little follower	http://www.crosswordgiant.com/crossword-clue/886861/Big-or-little-follower
Oxford leader?	http://www.crosswordgiant.com/crossword-clue/888290/Oxford-leader
Part of Italy where Cape Spartivento is	http://www.crosswordgiant.com/crossword-clue/888518/Part-of-Italy-where-Cape-Spartivento-is
Water temperature gauge?	http://www.crosswordgiant.com/crossword-clue/898426/Water-temperature-gauge
Tip of a mule	http://www.crosswordgiant.com/crossword-clue/899124/Tip-of-a-mule
"Little piggie"	http://www.crosswordgiant.com/crossword-clue/901860/Little-piggie
Third X, in a simple game	http://www.crosswordgiant.com/crossword-clue/902300/Third-X-in-a-simple-game
Swimming pool tester	http://www.crosswordgiant.com/crossword-clue/907192/Swimming-pool-tester
Ballerina's pivot point	http://www.crosswordgiant.com/crossword-clue/913337/Ballerinas-pivot-point
Piggie	http://www.crosswordgiant.com/crossword-clue/913998/Piggie
Hammer obliquely	http://www.crosswordgiant.com/crossword-clue/917746/Hammer-obliquely
Little piggy, in a tot's rhyme	http://www.crosswordgiant.com/crossword-clue/917844/Little-piggy-in-a-tots-rhyme
Sock or foot part	http://www.crosswordgiant.com/crossword-clue/921840/Sock-or-foot-part
Bathwater temperature tester	http://www.crosswordgiant.com/crossword-clue/924628/Bathwater-temperature-tester
Body part that can be stubbed	http://www.crosswordgiant.com/crossword-clue/925048/Body-part-that-can-be-stubbed
One of the 10 lowest digits?	http://www.crosswordgiant.com/crossword-clue/925410/One-of-the-10-lowest-digits
Foot extremity.	http://www.crosswordgiant.com/crossword-clue/952223/Foot-extremity
Conform or obey; ... the line	http://www.crosswordgiant.com/crossword-clue/953954/Conform-or-obey-...-the-line
Conform - ... the line	http://www.crosswordgiant.com/crossword-clue/959912/Conform-...-the-line
Division of the foot	http://www.crosswordgiant.com/crossword-clue/969343/Division-of-the-foot
Conform-...the line	http://www.crosswordgiant.com/crossword-clue/992600/Conform-...the-line
Obey - . . . the line	http://www.crosswordgiant.com/crossword-clue/994281/Obey-.-.-.-the-line
One goes on foot 4 across	http://www.crosswordgiant.com/crossword-clue/1055370/One-goes-on-foot-4-across
Nothing from F to the final letter	http://www.crosswordgiant.com/crossword-clue/1071507/Nothing-from-F-to-the-final-letter
You'll have to be going with this on foot	http://www.crosswordgiant.com/crossword-clue/1079913/Youll-have-to-be-going-with-this-on-foot
One goes on foot in an easterly direction, it seems	http://www.crosswordgiant.com/crossword-clue/1080677/One-goes-on-foot-in-an-easterly-direction-it-seems
Sounds as if one might pull this less than one foot	http://www.crosswordgiant.com/crossword-clue/1098794/Sounds-as-if-one-might-pull-this-less-than-one-foot
On top of 19 across, might this bottom of you conform?	http://www.crosswordgiant.com/crossword-clue/1104719/On-top-of-19-across-might-this-bottom-of-you-conform
In an eastern direction on foot	http://www.crosswordgiant.com/crossword-clue/1121433/In-an-eastern-direction-on-foot
Less than a foot eastward	http://www.crosswordgiant.com/crossword-clue/1144033/Less-than-a-foot-eastward
Bit of a legend	http://www.crosswordgiant.com/crossword-clue/1157687/Bit-of-a-legend
Less than one foot in an eastern direction	http://www.crosswordgiant.com/crossword-clue/1160516/Less-than-one-foot-in-an-eastern-direction
The way to get to the East on foot	http://www.crosswordgiant.com/crossword-clue/1164336/The-way-to-get-to-the-East-on-foot
Not so far as F, perhaps, on foot	http://www.crosswordgiant.com/crossword-clue/1167157/Not-so-far-as-F-perhaps-on-foot
'On foot in an easterly direction, perhaps (3)'	http://www.crosswordgiant.com/crossword-clue/1170082/On-foot-in-an-easterly-direction-perhaps-3
Would this one get one to the Orient on foot?	http://www.crosswordgiant.com/crossword-clue/1170777/Would-this-one-get-one-to-the-Orient-on-foot
It may be painted	http://www.crosswordgiant.com/crossword-clue/1191978/It-may-be-painted
Stubbed extremity	http://www.crosswordgiant.com/crossword-clue/1201524/Stubbed-extremity
It may be tapped at a concert	http://www.crosswordgiant.com/crossword-clue/1202009/It-may-be-tapped-at-a-concert
Pivot point when en pointe	http://www.crosswordgiant.com/crossword-clue/1206031/Pivot-point-when-en-pointe
Sub-unit of a foot	http://www.crosswordgiant.com/crossword-clue/1206600/Sub-unit-of-a-foot
Ballerina's balancing point	http://www.crosswordgiant.com/crossword-clue/1215269/Ballerinas-balancing-point
Little wiggler	http://www.crosswordgiant.com/crossword-clue/1228281/Little-wiggler
Follower of tic-tac	http://www.crosswordgiant.com/crossword-clue/1232147/Follower-of-tic-tac
'Little piggy,' in a children's rhyme	http://www.crosswordgiant.com/crossword-clue/1238559/Little-piggy-in-a-childrens-rhyme
Crude pool thermometer?	http://www.crosswordgiant.com/crossword-clue/1243623/Crude-pool-thermometer
With 49-Across, figure skating practice	http://www.crosswordgiant.com/crossword-clue/1246151/With-49-Across-figure-skating-practice
Strove every second for low digit	http://www.crosswordgiant.com/crossword-clue/1248260/Strove-every-second-for-low-digit
Body part not covered by a thong	http://www.crosswordgiant.com/crossword-clue/1254399/Body-part-not-covered-by-a-thong
Oft-stubbed extremity	http://www.crosswordgiant.com/crossword-clue/1255457/Oft-stubbed-extremity
... or at its end	http://www.crosswordgiant.com/crossword-clue/1383599/...-or-at-its-end
Digit on foot	http://www.crosswordgiant.com/crossword-clue/1386196/Digit-on-foot
Corn's locale, often	http://www.crosswordgiant.com/crossword-clue/1406183/Corns-locale-often
__ clip (bike part)	http://www.crosswordgiant.com/crossword-clue/1414125/__-clip-bike-part
Turf __: common football injury	http://www.crosswordgiant.com/crossword-clue/1422027/Turf-__-common-football-injury
Digit with a ring, maybe	http://www.crosswordgiant.com/crossword-clue/1439138/Digit-with-a-ring-maybe
Piggy who went to market on foot	http://www.crosswordgiant.com/crossword-clue/1440094/Piggy-who-went-to-market-on-foot
Third X or O	http://www.crosswordgiant.com/crossword-clue/1444767/Third-X-or-O
Nursery "piggy"	http://www.crosswordgiant.com/crossword-clue/1449700/Nursery-piggy
Tip trailer	http://www.crosswordgiant.com/crossword-clue/1450071/Tip-trailer
Pointe balancing point	http://www.crosswordgiant.com/crossword-clue/1465829/Pointe-balancing-point
Tip-___	http://www.crosswordgiant.com/crossword-clue/1472971/Tip-___
Toddler's piggy	http://www.crosswordgiant.com/crossword-clue/1496231/Toddlers-piggy
Digital print source?	http://www.crosswordgiant.com/crossword-clue/1500196/Digital-print-source
