Pub order	crosswordtracker.com/clue/pub-order/
Part of IPA	http://www.crosswordgiant.com/crossword-clue/719272/Part-of-IPA
''Pale'' drink	http://www.crosswordgiant.com/crossword-clue/833873/Pale-drink
Beerlike brew	http://www.crosswordgiant.com/crossword-clue/871534/Beerlike-brew
Pub pick	http://www.crosswordgiant.com/crossword-clue/886781/Pub-pick
Guinness order	http://www.crosswordgiant.com/crossword-clue/913407/Guinness-order
Beer-like beverage	http://www.crosswordgiant.com/crossword-clue/966599/Beer-like-beverage
Serving on draught	http://www.crosswordgiant.com/crossword-clue/1235287/Serving-on-draught
Ballantine brew	http://www.crosswordgiant.com/crossword-clue/16311/Ballantine-brew
Bitter, to a Brit	http://www.crosswordgiant.com/crossword-clue/17084/Bitter-to-a-Brit
Hearty mugful	http://www.crosswordgiant.com/crossword-clue/23453/Hearty-mugful
Draft, maybe	http://www.crosswordgiant.com/crossword-clue/25596/Draft-maybe
Steinful	http://www.crosswordgiant.com/crossword-clue/25635/Steinful
It may be involved in a draft	http://www.crosswordgiant.com/crossword-clue/37726/It-may-be-involved-in-a-draft
Drink on draft	http://www.crosswordgiant.com/crossword-clue/45134/Drink-on-draft
Irish ___	http://www.crosswordgiant.com/crossword-clue/55070/Irish-___
Drink in a mug	http://www.crosswordgiant.com/crossword-clue/56157/Drink-in-a-mug
Half-and-half half	http://www.crosswordgiant.com/crossword-clue/58985/Half-and-half-half
Rathskeller quaff	http://www.crosswordgiant.com/crossword-clue/72646/Rathskeller-quaff
Kensington quaff	http://www.crosswordgiant.com/crossword-clue/73507/Kensington-quaff
Drink at the Duck and Drake	http://www.crosswordgiant.com/crossword-clue/85682/Drink-at-the-Duck-and-Drake
Brewed drink	http://www.crosswordgiant.com/crossword-clue/86197/Brewed-drink
Heady draft	http://www.crosswordgiant.com/crossword-clue/108748/Heady-draft
It may be bitter	http://www.crosswordgiant.com/crossword-clue/109286/It-may-be-bitter
Heady order	http://www.crosswordgiant.com/crossword-clue/110076/Heady-order
Harp output	http://www.crosswordgiant.com/crossword-clue/112319/Harp-output
Pub quencher	http://www.crosswordgiant.com/crossword-clue/116139/Pub-quencher
Cream ___	http://www.crosswordgiant.com/crossword-clue/117236/Cream-___
Maugham's ''Cakes and ---''	http://www.crosswordgiant.com/crossword-clue/122160/Maughams-Cakes-and-
Half of a half-and-half	http://www.crosswordgiant.com/crossword-clue/126685/Half-of-a-half-and-half
Alternative to lager	http://www.crosswordgiant.com/crossword-clue/126867/Alternative-to-lager
It may be after ginger	http://www.crosswordgiant.com/crossword-clue/127792/It-may-be-after-ginger
Public house mainstay	http://www.crosswordgiant.com/crossword-clue/172372/Public-house-mainstay
Brewpub output	http://www.crosswordgiant.com/crossword-clue/186642/Brewpub-output
Cakes companion	http://www.crosswordgiant.com/crossword-clue/186942/Cakes-companion
Oktoberfest order	http://www.crosswordgiant.com/crossword-clue/195113/Oktoberfest-order
It's intoxicating	http://www.crosswordgiant.com/crossword-clue/200112/Its-intoxicating
Brewery specialty, perhaps	http://www.crosswordgiant.com/crossword-clue/200915/Brewery-specialty-perhaps
Grogshop choice	http://www.crosswordgiant.com/crossword-clue/202259/Grogshop-choice
Inn order	http://www.crosswordgiant.com/crossword-clue/210487/Inn-order
Draft option	http://www.crosswordgiant.com/crossword-clue/213316/Draft-option
Malt drink	http://www.crosswordgiant.com/crossword-clue/214079/Malt-drink
Keg quaff	http://www.crosswordgiant.com/crossword-clue/217183/Keg-quaff
Pint in a pub	http://www.crosswordgiant.com/crossword-clue/231360/Pint-in-a-pub
Publican's pints	http://www.crosswordgiant.com/crossword-clue/241400/Publicans-pints
Publican's serving	http://www.crosswordgiant.com/crossword-clue/248382/Publicans-serving
Pub potion	http://www.crosswordgiant.com/crossword-clue/251671/Pub-potion
Darker-than-beer brew	http://www.crosswordgiant.com/crossword-clue/256623/Darker-than-beer-brew
Bass output	http://www.crosswordgiant.com/crossword-clue/258949/Bass-output
Public order?	http://www.crosswordgiant.com/crossword-clue/265566/Public-order
Andy Capp's order	http://www.crosswordgiant.com/crossword-clue/287771/Andy-Capps-order
Brit's beer	http://www.crosswordgiant.com/crossword-clue/302286/Brits-beer
Cake partner	http://www.crosswordgiant.com/crossword-clue/302868/Cake-partner
Brew-pub offering	http://www.crosswordgiant.com/crossword-clue/305489/Brew-pub-offering
Stout's cousin	http://www.crosswordgiant.com/crossword-clue/306208/Stouts-cousin
Hearty pub order	http://www.crosswordgiant.com/crossword-clue/308863/Hearty-pub-order
Bar brew	http://www.crosswordgiant.com/crossword-clue/308950/Bar-brew
Pint glass fill	http://www.crosswordgiant.com/crossword-clue/325569/Pint-glass-fill
Draft order	http://www.crosswordgiant.com/crossword-clue/337180/Draft-order
McSorley's offering	http://www.crosswordgiant.com/crossword-clue/337509/McSorleys-offering
Brighton brew	http://www.crosswordgiant.com/crossword-clue/338993/Brighton-brew
Public-house offering	http://www.crosswordgiant.com/crossword-clue/343259/Public-house-offering
It's inn stock	http://www.crosswordgiant.com/crossword-clue/351362/Its-inn-stock
Stout, e.g.	http://www.crosswordgiant.com/crossword-clue/367785/Stout-e.g
Porter, e.g.	http://www.crosswordgiant.com/crossword-clue/378790/Porter-e.g
Partner of cakes	http://www.crosswordgiant.com/crossword-clue/380053/Partner-of-cakes
Mugful	http://www.crosswordgiant.com/crossword-clue/380274/Mugful
Schooner's contents	http://www.crosswordgiant.com/crossword-clue/384787/Schooners-contents
Bar quaff	http://www.crosswordgiant.com/crossword-clue/397677/Bar-quaff
Inn order, perhaps	http://www.crosswordgiant.com/crossword-clue/399194/Inn-order-perhaps
Nut brown ___	http://www.crosswordgiant.com/crossword-clue/404153/Nut-brown-___
Adult beverage	http://www.crosswordgiant.com/crossword-clue/406599/Adult-beverage
Tankard brew	http://www.crosswordgiant.com/crossword-clue/408029/Tankard-brew
Ballantine, e.g.	http://www.crosswordgiant.com/crossword-clue/413352/Ballantine-e.g
Bitter brew	http://www.crosswordgiant.com/crossword-clue/417132/Bitter-brew
Saloon quaff	http://www.crosswordgiant.com/crossword-clue/419947/Saloon-quaff
Calgary Stock or India Pale	http://www.crosswordgiant.com/crossword-clue/421418/Calgary-Stock-or-India-Pale
Drink with a head on it	http://www.crosswordgiant.com/crossword-clue/423457/Drink-with-a-head-on-it
Draft choice?	http://www.crosswordgiant.com/crossword-clue/446851/Draft-choice
Pub draft	http://www.crosswordgiant.com/crossword-clue/468036/Pub-draft
Pub provision	http://www.crosswordgiant.com/crossword-clue/487222/Pub-provision
Stein drink	http://www.crosswordgiant.com/crossword-clue/487974/Stein-drink
Fermented beverage	http://www.crosswordgiant.com/crossword-clue/518320/Fermented-beverage
Malt liquor	http://www.crosswordgiant.com/crossword-clue/518454/Malt-liquor
Lager alternative	http://www.crosswordgiant.com/crossword-clue/518702/Lager-alternative
Bloomsday beverage	http://www.crosswordgiant.com/crossword-clue/524083/Bloomsday-beverage
Stout alternative	http://www.crosswordgiant.com/crossword-clue/532014/Stout-alternative
Toby drink	http://www.crosswordgiant.com/crossword-clue/532464/Toby-drink
Bath suds	http://www.crosswordgiant.com/crossword-clue/551757/Bath-suds
Brewpub glassful	http://www.crosswordgiant.com/crossword-clue/559980/Brewpub-glassful
Inn stock	http://www.crosswordgiant.com/crossword-clue/566851/Inn-stock
Mugful, maybe	http://www.crosswordgiant.com/crossword-clue/578537/Mugful-maybe
Potent brew	http://www.crosswordgiant.com/crossword-clue/582054/Potent-brew
Stein refill, perhaps	http://www.crosswordgiant.com/crossword-clue/588621/Stein-refill-perhaps
Pub stuff	http://www.crosswordgiant.com/crossword-clue/600447/Pub-stuff
Full-bodied beer	http://www.crosswordgiant.com/crossword-clue/620256/Full-bodied-beer
Tankard refill	http://www.crosswordgiant.com/crossword-clue/628967/Tankard-refill
Pint at the pub	http://www.crosswordgiant.com/crossword-clue/633938/Pint-at-the-pub
Pub pintful	http://www.crosswordgiant.com/crossword-clue/645547/Pub-pintful
It may be part of a round	http://www.crosswordgiant.com/crossword-clue/652402/It-may-be-part-of-a-round
Heady quaff	http://www.crosswordgiant.com/crossword-clue/655603/Heady-quaff
Top-fermented brew	http://www.crosswordgiant.com/crossword-clue/666159/Top-fermented-brew
Its cousin is stout	http://www.crosswordgiant.com/crossword-clue/670228/Its-cousin-is-stout
Ginger ___ (Canada Dry product)	http://www.crosswordgiant.com/crossword-clue/695125/Ginger-___-Canada-Dry-product
Microbrew, maybe	http://www.crosswordgiant.com/crossword-clue/735757/Microbrew-maybe
Bristol brew	http://www.crosswordgiant.com/crossword-clue/743775/Bristol-brew
Brewpub quaff	http://www.crosswordgiant.com/crossword-clue/767351/Brewpub-quaff
Bud's heavier relative?	http://www.crosswordgiant.com/crossword-clue/772847/Buds-heavier-relative
"Andy Capp" quaff	http://www.crosswordgiant.com/crossword-clue/773052/Andy-Capp-quaff
Hoppy drink	http://www.crosswordgiant.com/crossword-clue/801934/Hoppy-drink
Hoppy quaff	http://www.crosswordgiant.com/crossword-clue/822590/Hoppy-quaff
Pub standard	http://www.crosswordgiant.com/crossword-clue/836941/Pub-standard
Word that can follow pale, brown or cask	http://www.crosswordgiant.com/crossword-clue/854412/Word-that-can-follow-pale-brown-or-cask
IPA part	http://www.crosswordgiant.com/crossword-clue/860717/IPA-part
Drink by a dartboard	http://www.crosswordgiant.com/crossword-clue/884958/Drink-by-a-dartboard
Potent pub pint	http://www.crosswordgiant.com/crossword-clue/895840/Potent-pub-pint
Maugham's "Cakes and ___"	http://www.crosswordgiant.com/crossword-clue/897742/Maughams-Cakes-and-___
Brown or pale quaff	http://www.crosswordgiant.com/crossword-clue/902060/Brown-or-pale-quaff
Flagon filler	http://www.crosswordgiant.com/crossword-clue/914740/Flagon-filler
Beverage for the inn crowd?	http://www.crosswordgiant.com/crossword-clue/919593/Beverage-for-the-inn-crowd
Alexander Keith product	http://www.crosswordgiant.com/crossword-clue/933587/Alexander-Keith-product
The bier sounds as if it might make one sick	http://www.crosswordgiant.com/crossword-clue/1176083/The-bier-sounds-as-if-it-might-make-one-sick
Part of 42-Across	http://www.crosswordgiant.com/crossword-clue/1395230/Part-of-42-Across
"Ginger" follower	http://www.crosswordgiant.com/crossword-clue/1410713/Ginger-follower
Brewpub brew	http://www.crosswordgiant.com/crossword-clue/1414887/Brewpub-brew
McSorley's Old ___ House	http://www.crosswordgiant.com/crossword-clue/1458584/McSorleys-Old-___-House
Bitter, e.g	http://www.crosswordgiant.com/crossword-clue/1462810/Bitter-e.g
India Pale ___	http://www.crosswordgiant.com/crossword-clue/1480719/India-Pale-___
Beverage of McSorley's	http://www.crosswordgiant.com/crossword-clue/1486157/Beverage-of-McSorleys
''I would give all my fame for a pot of __'': Shak	http://www.crosswordgiant.com/crossword-clue/1486851/I-would-give-all-my-fame-for-a-pot-of-__-Shak
Bexley beer	http://www.crosswordgiant.com/crossword-clue/1486960/Bexley-beer
Tavern favorite	http://www.crosswordgiant.com/crossword-clue/1487618/Tavern-favorite
Sussex suds	http://www.crosswordgiant.com/crossword-clue/1488692/Sussex-suds
11-Down cousin	http://www.crosswordgiant.com/crossword-clue/1491040/11-Down-cousin
Brew in a pint	http://www.crosswordgiant.com/crossword-clue/1491857/Brew-in-a-pint
Tylenol competitor	http://www.crosswordgiant.com/crossword-clue/1818/Tylenol-competitor
Cold porter	http://www.crosswordgiant.com/crossword-clue/6208/Cold-porter
It may come in cases	http://www.crosswordgiant.com/crossword-clue/6638/It-may-come-in-cases
Bar offering	http://www.crosswordgiant.com/crossword-clue/15281/Bar-offering
See 44-Across	http://www.crosswordgiant.com/crossword-clue/15377/See-44-Across
Pitcherful, maybe	http://www.crosswordgiant.com/crossword-clue/17815/Pitcherful-maybe
Draught, maybe	http://www.crosswordgiant.com/crossword-clue/18866/Draught-maybe
Old Foghorn, e.g.	http://www.crosswordgiant.com/crossword-clue/22611/Old-Foghorn-e.g
Bubbly beverage	http://www.crosswordgiant.com/crossword-clue/30496/Bubbly-beverage
XXX drink, in the comics	http://www.crosswordgiant.com/crossword-clue/33057/XXX-drink-in-the-comics
It has a bite and hops	http://www.crosswordgiant.com/crossword-clue/35780/It-has-a-bite-and-hops
Manifest	http://www.crosswordgiant.com/crossword-clue/46802/Manifest
Pub stock	http://www.crosswordgiant.com/crossword-clue/54356/Pub-stock
Malted drink that's not a malted	http://www.crosswordgiant.com/crossword-clue/56763/Malted-drink-thats-not-a-malted
Draft call?	http://www.crosswordgiant.com/crossword-clue/62343/Draft-call
King's Head order	http://www.crosswordgiant.com/crossword-clue/62774/Kings-Head-order
It might be hand-drawn	http://www.crosswordgiant.com/crossword-clue/63685/It-might-be-hand-drawn
Order at the George & Dragon	http://www.crosswordgiant.com/crossword-clue/66120/Order-at-the-George-Dragon
It may be taken in in an inn	http://www.crosswordgiant.com/crossword-clue/68618/It-may-be-taken-in-in-an-inn
Tavern offering	http://www.crosswordgiant.com/crossword-clue/68786/Tavern-offering
Lead-in for house or wife	http://www.crosswordgiant.com/crossword-clue/69025/Lead-in-for-house-or-wife
A pint, maybe	http://www.crosswordgiant.com/crossword-clue/70659/A-pint-maybe
Order at the Pig & Whistle	http://www.crosswordgiant.com/crossword-clue/72224/Order-at-the-Pig-Whistle
It might help wash down a banger	http://www.crosswordgiant.com/crossword-clue/72588/It-might-help-wash-down-a-banger
Bitter ___	http://www.crosswordgiant.com/crossword-clue/101884/Bitter-___
Ginger ---	http://www.crosswordgiant.com/crossword-clue/111923/Ginger-
Mersey potable	http://www.crosswordgiant.com/crossword-clue/112017/Mersey-potable
Pint contents, perhaps	http://www.crosswordgiant.com/crossword-clue/115022/Pint-contents-perhaps
Barrel contents	http://www.crosswordgiant.com/crossword-clue/121658/Barrel-contents
Frothy quaff	http://www.crosswordgiant.com/crossword-clue/121829/Frothy-quaff
Tavern product	http://www.crosswordgiant.com/crossword-clue/126301/Tavern-product
It might be in a yard	http://www.crosswordgiant.com/crossword-clue/131558/It-might-be-in-a-yard
Bitters, e.g.	http://www.crosswordgiant.com/crossword-clue/132305/Bitters-e.g
It may get a swelled head	http://www.crosswordgiant.com/crossword-clue/136866/It-may-get-a-swelled-head
Draft selection	http://www.crosswordgiant.com/crossword-clue/137126/Draft-selection
Pilsener kin	http://www.crosswordgiant.com/crossword-clue/141903/Pilsener-kin
Stuff sold in yards	http://www.crosswordgiant.com/crossword-clue/143669/Stuff-sold-in-yards
Strong brew	http://www.crosswordgiant.com/crossword-clue/153087/Strong-brew
Order at the Crown & Anchor	http://www.crosswordgiant.com/crossword-clue/162363/Order-at-the-Crown-Anchor
Tankard fill	http://www.crosswordgiant.com/crossword-clue/164566/Tankard-fill
It may come after ginger	http://www.crosswordgiant.com/crossword-clue/170568/It-may-come-after-ginger
Oktoberfest quaff	http://www.crosswordgiant.com/crossword-clue/172792/Oktoberfest-quaff
Amber, e.g.	http://www.crosswordgiant.com/crossword-clue/176158/Amber-e.g
Maugham's 'Cakes and ___'	http://www.crosswordgiant.com/crossword-clue/177210/Maughams-Cakes-and-___
Andy Capp's quaff	http://www.crosswordgiant.com/crossword-clue/177954/Andy-Capps-quaff
Beverage that's bitterer than beer	http://www.crosswordgiant.com/crossword-clue/190406/Beverage-thats-bitterer-than-beer
It has its head in a glass	http://www.crosswordgiant.com/crossword-clue/193695/It-has-its-head-in-a-glass
Maugham's "Cakes and ---"	http://www.crosswordgiant.com/crossword-clue/193794/Maughams-Cakes-and-
Something brewing	http://www.crosswordgiant.com/crossword-clue/193842/Something-brewing
It may be pint-size	http://www.crosswordgiant.com/crossword-clue/194420/It-may-be-pint-size
Partner of steak	http://www.crosswordgiant.com/crossword-clue/198216/Partner-of-steak
Bitter, say	http://www.crosswordgiant.com/crossword-clue/198341/Bitter-say
Ginger's follower?	http://www.crosswordgiant.com/crossword-clue/199513/Gingers-follower
Foamy quaff	http://www.crosswordgiant.com/crossword-clue/202095/Foamy-quaff
Fish and chips follower, sometimes	http://www.crosswordgiant.com/crossword-clue/203222/Fish-and-chips-follower-sometimes
Bath beverage	http://www.crosswordgiant.com/crossword-clue/203389/Bath-beverage
Schooner load	http://www.crosswordgiant.com/crossword-clue/203935/Schooner-load
Quaffer's order	http://www.crosswordgiant.com/crossword-clue/209358/Quaffers-order
It gets a head	http://www.crosswordgiant.com/crossword-clue/211046/It-gets-a-head
Pint for Andy Capp	http://www.crosswordgiant.com/crossword-clue/212475/Pint-for-Andy-Capp
It may take some hops	http://www.crosswordgiant.com/crossword-clue/213056/It-may-take-some-hops
Molson offering	http://www.crosswordgiant.com/crossword-clue/220597/Molson-offering
Mug contents, maybe	http://www.crosswordgiant.com/crossword-clue/227385/Mug-contents-maybe
Brewery creation	http://www.crosswordgiant.com/crossword-clue/232357/Brewery-creation
Happy-hour order	http://www.crosswordgiant.com/crossword-clue/234139/Happy-hour-order
Nog ingredient, maybe	http://www.crosswordgiant.com/crossword-clue/235270/Nog-ingredient-maybe
"Cakes and ___" (Maugham)	http://www.crosswordgiant.com/crossword-clue/237268/Cakes-and-___-Maugham
Ipswich potable	http://www.crosswordgiant.com/crossword-clue/237775/Ipswich-potable
Kin of beer	http://www.crosswordgiant.com/crossword-clue/243889/Kin-of-beer
Schooner's cargo, perhaps	http://www.crosswordgiant.com/crossword-clue/246603/Schooners-cargo-perhaps
Pub  order	http://www.crosswordgiant.com/crossword-clue/252223/Pub-order
Kin of 53-Across	http://www.crosswordgiant.com/crossword-clue/254982/Kin-of-53-Across
Schooner cargo, often	http://www.crosswordgiant.com/crossword-clue/256789/Schooner-cargo-often
It contains about 6% alcohol by volume	http://www.crosswordgiant.com/crossword-clue/263558/It-contains-about-6-alcohol-by-volume
Falstaff's quencher	http://www.crosswordgiant.com/crossword-clue/264451/Falstaffs-quencher
Milwau-kee product	http://www.crosswordgiant.com/crossword-clue/265406/Milwau-kee-product
Drink  with a head	http://www.crosswordgiant.com/crossword-clue/269258/Drink-with-a-head
Libation station potation	http://www.crosswordgiant.com/crossword-clue/270908/Libation-station-potation
Sierra Nevada, e.g.	http://www.crosswordgiant.com/crossword-clue/274408/Sierra-Nevada-e.g
Pub  supply	http://www.crosswordgiant.com/crossword-clue/278376/Pub-supply
Pale drink	http://www.crosswordgiant.com/crossword-clue/279815/Pale-drink
RenFest beverage	http://www.crosswordgiant.com/crossword-clue/281226/RenFest-beverage
Hogshead contents, perhaps	http://www.crosswordgiant.com/crossword-clue/289309/Hogshead-contents-perhaps
Pint potable	http://www.crosswordgiant.com/crossword-clue/292275/Pint-potable
Publican's product	http://www.crosswordgiant.com/crossword-clue/296879/Publicans-product
Pint at a pub	http://www.crosswordgiant.com/crossword-clue/299134/Pint-at-a-pub
Tavern request	http://www.crosswordgiant.com/crossword-clue/303147/Tavern-request
It's more than 4 percent alcohol by volume in the U.S.	http://www.crosswordgiant.com/crossword-clue/306365/Its-more-than-4-percent-alcohol-by-volume-in-the-U.S
Inn take	http://www.crosswordgiant.com/crossword-clue/308654/Inn-take
Relative of beer	http://www.crosswordgiant.com/crossword-clue/309754/Relative-of-beer
Bath bubbler?	http://www.crosswordgiant.com/crossword-clue/310403/Bath-bubbler
Bitter beer	http://www.crosswordgiant.com/crossword-clue/311515/Bitter-beer
It could be part of one's inn take	http://www.crosswordgiant.com/crossword-clue/327459/It-could-be-part-of-ones-inn-take
Tankard contents, often	http://www.crosswordgiant.com/crossword-clue/328660/Tankard-contents-often
Barley wine, for one	http://www.crosswordgiant.com/crossword-clue/340603/Barley-wine-for-one
'Cakes and ___' (Maugham novel)	http://www.crosswordgiant.com/crossword-clue/341323/Cakes-and-___-Maugham-novel
Brown drink	http://www.crosswordgiant.com/crossword-clue/344143/Brown-drink
Bass product	http://www.crosswordgiant.com/crossword-clue/351628/Bass-product
Andy Capp beverage	http://www.crosswordgiant.com/crossword-clue/353257/Andy-Capp-beverage
It may be drawn	http://www.crosswordgiant.com/crossword-clue/357419/It-may-be-drawn
Kin of 22-Down	http://www.crosswordgiant.com/crossword-clue/367557/Kin-of-22-Down
Beer for a Brit	http://www.crosswordgiant.com/crossword-clue/367788/Beer-for-a-Brit
Seidel filler, sometimes	http://www.crosswordgiant.com/crossword-clue/369171/Seidel-filler-sometimes
Boddington's Pub ___	http://www.crosswordgiant.com/crossword-clue/377403/Boddingtons-Pub-___
It may be ginger-flavored	http://www.crosswordgiant.com/crossword-clue/378507/It-may-be-ginger-flavored
Public offering	http://www.crosswordgiant.com/crossword-clue/386834/Public-offering
Drink near the dartboard	http://www.crosswordgiant.com/crossword-clue/388123/Drink-near-the-dartboard
Capilano Pale ____	http://www.crosswordgiant.com/crossword-clue/390073/Capilano-Pale-____
Beverage	http://www.crosswordgiant.com/crossword-clue/392050/Beverage
Draught pick	http://www.crosswordgiant.com/crossword-clue/403699/Draught-pick
Dark-brown brew	http://www.crosswordgiant.com/crossword-clue/404807/Dark-brown-brew
Quaffer's choice	http://www.crosswordgiant.com/crossword-clue/408481/Quaffers-choice
Brit's brew, perhaps	http://www.crosswordgiant.com/crossword-clue/410274/Brits-brew-perhaps
Micro-brewery product	http://www.crosswordgiant.com/crossword-clue/410873/Micro-brewery-product
Porter, at a bar	http://www.crosswordgiant.com/crossword-clue/413854/Porter-at-a-bar
Bar tab item	http://www.crosswordgiant.com/crossword-clue/416653/Bar-tab-item
Potable	http://www.crosswordgiant.com/crossword-clue/421432/Potable
Steak go-with, sometimes	http://www.crosswordgiant.com/crossword-clue/422410/Steak-go-with-sometimes
Dark drink	http://www.crosswordgiant.com/crossword-clue/424616/Dark-drink
Brown ___	http://www.crosswordgiant.com/crossword-clue/435046/Brown-___
Drink by the dartboard	http://www.crosswordgiant.com/crossword-clue/438567/Drink-by-the-dartboard
Blonde ___	http://www.crosswordgiant.com/crossword-clue/441876/Blonde-___
Beer kin	http://www.crosswordgiant.com/crossword-clue/442783/Beer-kin
Bass brew	http://www.crosswordgiant.com/crossword-clue/446874/Bass-brew
68 Across order	http://www.crosswordgiant.com/crossword-clue/449746/68-Across-order
Porter, for one	http://www.crosswordgiant.com/crossword-clue/449785/Porter-for-one
Drink often labeled XXX in the comics	http://www.crosswordgiant.com/crossword-clue/450248/Drink-often-labeled-XXX-in-the-comics
Home brew product	http://www.crosswordgiant.com/crossword-clue/450790/Home-brew-product
Stout brew	http://www.crosswordgiant.com/crossword-clue/452888/Stout-brew
It's drawn in pubs	http://www.crosswordgiant.com/crossword-clue/458807/Its-drawn-in-pubs
'Pale' drink	http://www.crosswordgiant.com/crossword-clue/461501/Pale-drink
Bath suds?	http://www.crosswordgiant.com/crossword-clue/469650/Bath-suds
Type of beer	http://www.crosswordgiant.com/crossword-clue/471610/Type-of-beer
It may have a big head when drawn	http://www.crosswordgiant.com/crossword-clue/473959/It-may-have-a-big-head-when-drawn
''Ginger'' follower	http://www.crosswordgiant.com/crossword-clue/476401/Ginger-follower
Dark __	http://www.crosswordgiant.com/crossword-clue/479144/Dark-__
It could be pale	http://www.crosswordgiant.com/crossword-clue/489255/It-could-be-pale
Brit's bitter	http://www.crosswordgiant.com/crossword-clue/490042/Brits-bitter
Word with bitter or winter	http://www.crosswordgiant.com/crossword-clue/490131/Word-with-bitter-or-winter
Fluid in a pint	http://www.crosswordgiant.com/crossword-clue/497804/Fluid-in-a-pint
Oktoberfest order, perhaps	http://www.crosswordgiant.com/crossword-clue/503857/Oktoberfest-order-perhaps
Tap output	http://www.crosswordgiant.com/crossword-clue/506196/Tap-output
Stout drink	http://www.crosswordgiant.com/crossword-clue/514950/Stout-drink
Malty brew	http://www.crosswordgiant.com/crossword-clue/515003/Malty-brew
''Cakes and ___'' (Maugham novel)	http://www.crosswordgiant.com/crossword-clue/515172/Cakes-and-___-Maugham-novel
Microbrewery output	http://www.crosswordgiant.com/crossword-clue/519728/Microbrewery-output
Part of a schooner's cargo, often	http://www.crosswordgiant.com/crossword-clue/520232/Part-of-a-schooners-cargo-often
Pub buy	http://www.crosswordgiant.com/crossword-clue/522635/Pub-buy
Pub  offering	http://www.crosswordgiant.com/crossword-clue/525083/Pub-offering
Capp's pub order	http://www.crosswordgiant.com/crossword-clue/526161/Capps-pub-order
Drink in 'The Taming of the Shrew'	http://www.crosswordgiant.com/crossword-clue/537428/Drink-in-The-Taming-of-the-Shrew
...and brew ordered there	http://www.crosswordgiant.com/crossword-clue/541565/...and-brew-ordered-there
Maugham title drink	http://www.crosswordgiant.com/crossword-clue/541636/Maugham-title-drink
Pete's Wicked __	http://www.crosswordgiant.com/crossword-clue/542106/Petes-Wicked-__
Bass in a glass	http://www.crosswordgiant.com/crossword-clue/545572/Bass-in-a-glass
Brighton beer	http://www.crosswordgiant.com/crossword-clue/546167/Brighton-beer
Word in a classic Maugham title	http://www.crosswordgiant.com/crossword-clue/547751/Word-in-a-classic-Maugham-title
It's brewed with top-fermenting yeast	http://www.crosswordgiant.com/crossword-clue/557435/Its-brewed-with-top-fermenting-yeast
Cakes partner	http://www.crosswordgiant.com/crossword-clue/558152/Cakes-partner
Foam-topped beverage	http://www.crosswordgiant.com/crossword-clue/558158/Foam-topped-beverage
Stein quaff	http://www.crosswordgiant.com/crossword-clue/561156/Stein-quaff
1-Down is one	http://www.crosswordgiant.com/crossword-clue/562099/1-Down-is-one
It can fill a yard	http://www.crosswordgiant.com/crossword-clue/566564/It-can-fill-a-yard
Beer hall buy	http://www.crosswordgiant.com/crossword-clue/566752/Beer-hall-buy
Hearty draught	http://www.crosswordgiant.com/crossword-clue/570282/Hearty-draught
Drink with cakes	http://www.crosswordgiant.com/crossword-clue/574464/Drink-with-cakes
Beverage in a Maugham title	http://www.crosswordgiant.com/crossword-clue/574693/Beverage-in-a-Maugham-title
Public-house potable	http://www.crosswordgiant.com/crossword-clue/576134/Public-house-potable
Nappy beverage	http://www.crosswordgiant.com/crossword-clue/577647/Nappy-beverage
Andy Capp's drink	http://www.crosswordgiant.com/crossword-clue/577836/Andy-Capps-drink
India pale --	http://www.crosswordgiant.com/crossword-clue/579087/India-pale-
Inn draft	http://www.crosswordgiant.com/crossword-clue/583647/Inn-draft
Newcastle, e.g.	http://www.crosswordgiant.com/crossword-clue/586711/Newcastle-e.g
Part of a Maugham title	http://www.crosswordgiant.com/crossword-clue/588613/Part-of-a-Maugham-title
It might be drawn	http://www.crosswordgiant.com/crossword-clue/591055/It-might-be-drawn
Brew in a tankard	http://www.crosswordgiant.com/crossword-clue/595942/Brew-in-a-tankard
Capp quaff	http://www.crosswordgiant.com/crossword-clue/596179/Capp-quaff
Cakes go-with	http://www.crosswordgiant.com/crossword-clue/598226/Cakes-go-with
McSorley's product	http://www.crosswordgiant.com/crossword-clue/599251/McSorleys-product
Hearty pour	http://www.crosswordgiant.com/crossword-clue/604682/Hearty-pour
It's drawn in bars	http://www.crosswordgiant.com/crossword-clue/607114/Its-drawn-in-bars
Hoppy stuff	http://www.crosswordgiant.com/crossword-clue/609265/Hoppy-stuff
It might be pale or dark	http://www.crosswordgiant.com/crossword-clue/619574/It-might-be-pale-or-dark
Fat Tire or Bass	http://www.crosswordgiant.com/crossword-clue/620004/Fat-Tire-or-Bass
It may be tapped out?	http://www.crosswordgiant.com/crossword-clue/620533/It-may-be-tapped-out
Maugham's "Cakes and __"	http://www.crosswordgiant.com/crossword-clue/622702/Maughams-Cakes-and-__
British beer	http://www.crosswordgiant.com/crossword-clue/623398/British-beer
''Ginger'' add-on	http://www.crosswordgiant.com/crossword-clue/626963/Ginger-add-on
Irish red, for one	http://www.crosswordgiant.com/crossword-clue/628197/Irish-red-for-one
Falstaff's quaff	http://www.crosswordgiant.com/crossword-clue/628730/Falstaffs-quaff
It may come from a barrel	http://www.crosswordgiant.com/crossword-clue/629269/It-may-come-from-a-barrel
Pint order	http://www.crosswordgiant.com/crossword-clue/629698/Pint-order
