Put away	crosswordtracker.com/clue/put-away/
Smoothie ingredient	http://www.crosswordgiant.com/crossword-clue/411632/Smoothie-ingredient
Katarina Witt's arena	http://www.crosswordgiant.com/crossword-clue/412374/Katarina-Witts-arena
Hockey  surface	http://www.crosswordgiant.com/crossword-clue/415768/Hockey-surface
Cube-shaped rocks?	http://www.crosswordgiant.com/crossword-clue/416260/Cube-shaped-rocks
Medium for temporary statues	http://www.crosswordgiant.com/crossword-clue/416705/Medium-for-temporary-statues
Cap material?	http://www.crosswordgiant.com/crossword-clue/416962/Cap-material
Word with cap or cream	http://www.crosswordgiant.com/crossword-clue/419577/Word-with-cap-or-cream
Hazard to navigation	http://www.crosswordgiant.com/crossword-clue/420649/Hazard-to-navigation
Winter coat?	http://www.crosswordgiant.com/crossword-clue/426959/Winter-coat
Wintry coating	http://www.crosswordgiant.com/crossword-clue/427308/Wintry-coating
Luge surface	http://www.crosswordgiant.com/crossword-clue/434456/Luge-surface
Stuff in trays	http://www.crosswordgiant.com/crossword-clue/440878/Stuff-in-trays
Shelf component, perhaps	http://www.crosswordgiant.com/crossword-clue/442296/Shelf-component-perhaps
Decorate, as a 54-Down	http://www.crosswordgiant.com/crossword-clue/442436/Decorate-as-a-54-Down
Substance for sculptures	http://www.crosswordgiant.com/crossword-clue/442864/Substance-for-sculptures
Wintry covering	http://www.crosswordgiant.com/crossword-clue/449042/Wintry-covering
Rocks from a bucket	http://www.crosswordgiant.com/crossword-clue/451015/Rocks-from-a-bucket
It'll melt in your mouth	http://www.crosswordgiant.com/crossword-clue/457226/Itll-melt-in-your-mouth
Freezer trayful	http://www.crosswordgiant.com/crossword-clue/458117/Freezer-trayful
Cube or cream preceder	http://www.crosswordgiant.com/crossword-clue/467092/Cube-or-cream-preceder
Preserve, perhaps	http://www.crosswordgiant.com/crossword-clue/467093/Preserve-perhaps
Glacier make-up	http://www.crosswordgiant.com/crossword-clue/476615/Glacier-make-up
Cooling cubes	http://www.crosswordgiant.com/crossword-clue/482148/Cooling-cubes
Old pushcart cry	http://www.crosswordgiant.com/crossword-clue/483695/Old-pushcart-cry
Cold blocks	http://www.crosswordgiant.com/crossword-clue/490293/Cold-blocks
Gretzky's stage	http://www.crosswordgiant.com/crossword-clue/495125/Gretzkys-stage
Top tortes	http://www.crosswordgiant.com/crossword-clue/499939/Top-tortes
Floor for Orr	http://www.crosswordgiant.com/crossword-clue/508572/Floor-for-Orr
Rangers' play area	http://www.crosswordgiant.com/crossword-clue/513851/Rangers-play-area
Word with pack or pick	http://www.crosswordgiant.com/crossword-clue/514667/Word-with-pack-or-pick
Tea addition	http://www.crosswordgiant.com/crossword-clue/521866/Tea-addition
Finish a cake	http://www.crosswordgiant.com/crossword-clue/523170/Finish-a-cake
Cubes in a bar	http://www.crosswordgiant.com/crossword-clue/524136/Cubes-in-a-bar
Word before maker or breaker	http://www.crosswordgiant.com/crossword-clue/526794/Word-before-maker-or-breaker
Cola cubes	http://www.crosswordgiant.com/crossword-clue/530786/Cola-cubes
Crook's diamonds	http://www.crosswordgiant.com/crossword-clue/534611/Crooks-diamonds
Put away for good	http://www.crosswordgiant.com/crossword-clue/542448/Put-away-for-good
Chilly cubes	http://www.crosswordgiant.com/crossword-clue/545626/Chilly-cubes
Olympic dancing venue	http://www.crosswordgiant.com/crossword-clue/547202/Olympic-dancing-venue
Windshield annoyance	http://www.crosswordgiant.com/crossword-clue/549577/Windshield-annoyance
Windshield inconvenience	http://www.crosswordgiant.com/crossword-clue/550160/Windshield-inconvenience
Rocks in a cocktail	http://www.crosswordgiant.com/crossword-clue/550395/Rocks-in-a-cocktail
''Fire and ___'' by Robert Frost	http://www.crosswordgiant.com/crossword-clue/554080/Fire-and-___-by-Robert-Frost
Drink coolant	http://www.crosswordgiant.com/crossword-clue/556155/Drink-coolant
Boitano's surface	http://www.crosswordgiant.com/crossword-clue/556197/Boitanos-surface
Rocks, maybe	http://www.crosswordgiant.com/crossword-clue/560701/Rocks-maybe
Hockey or curling surface	http://www.crosswordgiant.com/crossword-clue/563654/Hockey-or-curling-surface
Assure, as a victory	http://www.crosswordgiant.com/crossword-clue/567576/Assure-as-a-victory
Curling setting	http://www.crosswordgiant.com/crossword-clue/570930/Curling-setting
Dentyne brand	http://www.crosswordgiant.com/crossword-clue/574876/Dentyne-brand
Jewelry, to R. Kelly	http://www.crosswordgiant.com/crossword-clue/578625/Jewelry-to-R.-Kelly
Surface for Sharks	http://www.crosswordgiant.com/crossword-clue/582146/Surface-for-Sharks
Type of chest	http://www.crosswordgiant.com/crossword-clue/594886/Type-of-chest
Ephemeral sculpting medium	http://www.crosswordgiant.com/crossword-clue/599077/Ephemeral-sculpting-medium
Nail down	http://www.crosswordgiant.com/crossword-clue/605095/Nail-down
Wine cooler	http://www.crosswordgiant.com/crossword-clue/605462/Wine-cooler
Bucket filler	http://www.crosswordgiant.com/crossword-clue/605838/Bucket-filler
Rocks in the freezer	http://www.crosswordgiant.com/crossword-clue/606396/Rocks-in-the-freezer
It's never in a neat order	http://www.crosswordgiant.com/crossword-clue/608677/Its-never-in-a-neat-order
Bump off (Sl.)	http://www.crosswordgiant.com/crossword-clue/611250/Bump-off-Sl
Top a torte	http://www.crosswordgiant.com/crossword-clue/614670/Top-a-torte
Skid cause	http://www.crosswordgiant.com/crossword-clue/619159/Skid-cause
Relieve the pressure, in a way	http://www.crosswordgiant.com/crossword-clue/619987/Relieve-the-pressure-in-a-way
Certain sculpting medium	http://www.crosswordgiant.com/crossword-clue/620724/Certain-sculpting-medium
Type of cube	http://www.crosswordgiant.com/crossword-clue/622877/Type-of-cube
Glacial material	http://www.crosswordgiant.com/crossword-clue/623594/Glacial-material
Arctic landscape	http://www.crosswordgiant.com/crossword-clue/625711/Arctic-landscape
''___ Station Zebra''	http://www.crosswordgiant.com/crossword-clue/626762/___-Station-Zebra
Word in several 4D monikers	http://www.crosswordgiant.com/crossword-clue/629485/Word-in-several-4D-monikers
Cool stuff	http://www.crosswordgiant.com/crossword-clue/636383/Cool-stuff
Sno-cone base	http://www.crosswordgiant.com/crossword-clue/639540/Sno-cone-base
Hot stones	http://www.crosswordgiant.com/crossword-clue/641841/Hot-stones
Age that came with a chill	http://www.crosswordgiant.com/crossword-clue/644351/Age-that-came-with-a-chill
Supermarket bagful	http://www.crosswordgiant.com/crossword-clue/646055/Supermarket-bagful
Zamboni's place	http://www.crosswordgiant.com/crossword-clue/652849/Zambonis-place
It may be shaved	http://www.crosswordgiant.com/crossword-clue/657312/It-may-be-shaved
Machine in a motel	http://www.crosswordgiant.com/crossword-clue/660895/Machine-in-a-motel
Some crystals	http://www.crosswordgiant.com/crossword-clue/666029/Some-crystals
Main component of Saturn's rings	http://www.crosswordgiant.com/crossword-clue/667659/Main-component-of-Saturns-rings
Word with ''maker'' or ''breaker''	http://www.crosswordgiant.com/crossword-clue/672044/Word-with-maker-or-breaker
____cap	http://www.crosswordgiant.com/crossword-clue/681852/____cap
Chains et al.	http://www.crosswordgiant.com/crossword-clue/682351/Chains-et-al
Word with ''skate'' or ''water''	http://www.crosswordgiant.com/crossword-clue/683116/Word-with-skate-or-water
Skier's bane	http://www.crosswordgiant.com/crossword-clue/683540/Skiers-bane
Zamboni's surface	http://www.crosswordgiant.com/crossword-clue/686082/Zambonis-surface
Capades locale	http://www.crosswordgiant.com/crossword-clue/691287/Capades-locale
Dispose of, in a way	http://www.crosswordgiant.com/crossword-clue/693231/Dispose-of-in-a-way
Capades site	http://www.crosswordgiant.com/crossword-clue/701948/Capades-site
Zamboni's milieu	http://www.crosswordgiant.com/crossword-clue/704116/Zambonis-milieu
NHL surface	http://www.crosswordgiant.com/crossword-clue/705412/NHL-surface
Freezer cubes	http://www.crosswordgiant.com/crossword-clue/706917/Freezer-cubes
Winter formation	http://www.crosswordgiant.com/crossword-clue/708887/Winter-formation
Meth, slangily	http://www.crosswordgiant.com/crossword-clue/711407/Meth-slangily
With 46-Across, emulate Peggy Fleming	http://www.crosswordgiant.com/crossword-clue/714587/With-46-Across-emulate-Peggy-Fleming
Diamonds, to a fence	http://www.crosswordgiant.com/crossword-clue/715314/Diamonds-to-a-fence
Swelling aid	http://www.crosswordgiant.com/crossword-clue/717538/Swelling-aid
Alternative in a Frost poem	http://www.crosswordgiant.com/crossword-clue/721662/Alternative-in-a-Frost-poem
Jewelry or meth, in slang	http://www.crosswordgiant.com/crossword-clue/721767/Jewelry-or-meth-in-slang
It keeps things from being neat	http://www.crosswordgiant.com/crossword-clue/723016/It-keeps-things-from-being-neat
Setting for Capades	http://www.crosswordgiant.com/crossword-clue/725571/Setting-for-Capades
Seal, as a victory	http://www.crosswordgiant.com/crossword-clue/727560/Seal-as-a-victory
Pepsi cooler	http://www.crosswordgiant.com/crossword-clue/729137/Pepsi-cooler
"___ Station Zebra"	http://www.crosswordgiant.com/crossword-clue/731978/___-Station-Zebra
Curling sheet	http://www.crosswordgiant.com/crossword-clue/736499/Curling-sheet
Cubes in a freezer	http://www.crosswordgiant.com/crossword-clue/736535/Cubes-in-a-freezer
Bartender's rocks	http://www.crosswordgiant.com/crossword-clue/738820/Bartenders-rocks
Misplay the puck	http://www.crosswordgiant.com/crossword-clue/742302/Misplay-the-puck
Sheet on the road, perhaps	http://www.crosswordgiant.com/crossword-clue/744828/Sheet-on-the-road-perhaps
Zamboni milieu	http://www.crosswordgiant.com/crossword-clue/748402/Zamboni-milieu
Word with "water" or "maker"	http://www.crosswordgiant.com/crossword-clue/748511/Word-with-water-or-maker
Requirement for curlers	http://www.crosswordgiant.com/crossword-clue/758240/Requirement-for-curlers
Dry __	http://www.crosswordgiant.com/crossword-clue/759098/Dry-__
Rink base	http://www.crosswordgiant.com/crossword-clue/763731/Rink-base
Diamonds, to a thief	http://www.crosswordgiant.com/crossword-clue/769026/Diamonds-to-a-thief
Kill, in mob slang	http://www.crosswordgiant.com/crossword-clue/770655/Kill-in-mob-slang
___ Capades (skating show)	http://www.crosswordgiant.com/crossword-clue/775820/___-Capades-skating-show
Hot diamonds	http://www.crosswordgiant.com/crossword-clue/777707/Hot-diamonds
Bartender's rocks	http://www.crosswordgiant.com/crossword-clue/780148/Bartenders-rocks
Bruise treatment	http://www.crosswordgiant.com/crossword-clue/782303/Bruise-treatment
Sprain remedy	http://www.crosswordgiant.com/crossword-clue/786270/Sprain-remedy
Bucket or pack filler	http://www.crosswordgiant.com/crossword-clue/789242/Bucket-or-pack-filler
Cooler drink	http://www.crosswordgiant.com/crossword-clue/795350/Cooler-drink
Some bling	http://www.crosswordgiant.com/crossword-clue/797449/Some-bling
Cold cube	http://www.crosswordgiant.com/crossword-clue/797824/Cold-cube
26-Across supply	http://www.crosswordgiant.com/crossword-clue/799235/26-Across-supply
Jewelry	http://www.crosswordgiant.com/crossword-clue/799550/Jewelry
Cubes from the freezer	http://www.crosswordgiant.com/crossword-clue/802444/Cubes-from-the-freezer
Rocks for a Black Russian	http://www.crosswordgiant.com/crossword-clue/804592/Rocks-for-a-Black-Russian
Cool cubes	http://www.crosswordgiant.com/crossword-clue/806993/Cool-cubes
It's sold in bags or blocks	http://www.crosswordgiant.com/crossword-clue/807306/Its-sold-in-bags-or-blocks
Black ___ (winter highway hazard)	http://www.crosswordgiant.com/crossword-clue/810120/Black-___-winter-highway-hazard
Beverage store buy	http://www.crosswordgiant.com/crossword-clue/812313/Beverage-store-buy
Venue for Capades	http://www.crosswordgiant.com/crossword-clue/813072/Venue-for-Capades
Cube makeup	http://www.crosswordgiant.com/crossword-clue/814468/Cube-makeup
It keeps drinks from being neat	http://www.crosswordgiant.com/crossword-clue/816866/It-keeps-drinks-from-being-neat
Cruise sculptor's medium	http://www.crosswordgiant.com/crossword-clue/818834/Cruise-sculptors-medium
Rocks, at a bar	http://www.crosswordgiant.com/crossword-clue/821496/Rocks-at-a-bar
Cooler in the cooler	http://www.crosswordgiant.com/crossword-clue/822561/Cooler-in-the-cooler
Hockey arena	http://www.crosswordgiant.com/crossword-clue/823843/Hockey-arena
Treatment for swelling	http://www.crosswordgiant.com/crossword-clue/830358/Treatment-for-swelling
Rocks, to a barkeep	http://www.crosswordgiant.com/crossword-clue/830612/Rocks-to-a-barkeep
Most of Antarctica	http://www.crosswordgiant.com/crossword-clue/832553/Most-of-Antarctica
Force to drink a disgusting Smirnoff beverage, in bro-speak	http://www.crosswordgiant.com/crossword-clue/835782/Force-to-drink-a-disgusting-Smirnoff-beverage-in-bro-speak
Beverage-store bagful	http://www.crosswordgiant.com/crossword-clue/840913/Beverage-store-bagful
Assure victory in, slangily	http://www.crosswordgiant.com/crossword-clue/843252/Assure-victory-in-slangily
Manhattan cooler?	http://www.crosswordgiant.com/crossword-clue/844444/Manhattan-cooler
Snow cone base	http://www.crosswordgiant.com/crossword-clue/848921/Snow-cone-base
Some people like their espresso poured over it	http://www.crosswordgiant.com/crossword-clue/851389/Some-people-like-their-espresso-poured-over-it
37-Across material	http://www.crosswordgiant.com/crossword-clue/856136/37-Across-material
What most of hail is	http://www.crosswordgiant.com/crossword-clue/856186/What-most-of-hail-is
Epitome of coldness	http://www.crosswordgiant.com/crossword-clue/859034/Epitome-of-coldness
Number in a pack?	http://www.crosswordgiant.com/crossword-clue/859315/Number-in-a-pack
Winter walking peril	http://www.crosswordgiant.com/crossword-clue/861034/Winter-walking-peril
Berg material	http://www.crosswordgiant.com/crossword-clue/867543/Berg-material
Sculpting material, sometimes	http://www.crosswordgiant.com/crossword-clue/867999/Sculpting-material-sometimes
Cooler cubes	http://www.crosswordgiant.com/crossword-clue/869577/Cooler-cubes
Zamboni surface	http://www.crosswordgiant.com/crossword-clue/886799/Zamboni-surface
Frost a cake	http://www.crosswordgiant.com/crossword-clue/886863/Frost-a-cake
Freezer buildup	http://www.crosswordgiant.com/crossword-clue/887225/Freezer-buildup
Apply frosting to	http://www.crosswordgiant.com/crossword-clue/901818/Apply-frosting-to
Hotel bucketful	http://www.crosswordgiant.com/crossword-clue/905586/Hotel-bucketful
Floe material	http://www.crosswordgiant.com/crossword-clue/908204/Floe-material
Jewels, slangily	http://www.crosswordgiant.com/crossword-clue/915803/Jewels-slangily
Plans may be put on it	http://www.crosswordgiant.com/crossword-clue/922056/Plans-may-be-put-on-it
6-Down's surface	http://www.crosswordgiant.com/crossword-clue/928264/6-Downs-surface
The ends of 20-, 39- and 56-Across are forms of it	http://www.crosswordgiant.com/crossword-clue/931967/The-ends-of-20-39-and-56-Across-are-forms-of-it
Party host's bagful	http://www.crosswordgiant.com/crossword-clue/932826/Party-hosts-bagful
To put in a drink or slide on	http://www.crosswordgiant.com/crossword-clue/949990/To-put-in-a-drink-or-slide-on
Cold stuff used in enticement	http://www.crosswordgiant.com/crossword-clue/960038/Cold-stuff-used-in-enticement
Constituent of 2dn	http://www.crosswordgiant.com/crossword-clue/1022329/Constituent-of-2dn
Solid H2O	http://www.crosswordgiant.com/crossword-clue/1036060/Solid-H2O
If it's thin, skating on it can be dangerous	http://www.crosswordgiant.com/crossword-clue/1042279/If-its-thin-skating-on-it-can-be-dangerous
It's hard to see it's not so cold	http://www.crosswordgiant.com/crossword-clue/1043625/Its-hard-to-see-its-not-so-cold
It's not that that's not so hot, you see	http://www.crosswordgiant.com/crossword-clue/1047914/Its-not-that-thats-not-so-hot-you-see
It's hard to put it in the hard stuff	http://www.crosswordgiant.com/crossword-clue/1048188/Its-hard-to-put-it-in-the-hard-stuff
See, it's not this for 25 down - or is it?	http://www.crosswordgiant.com/crossword-clue/1050396/See-its-not-this-for-25-down-or-is-it
It's not there, you see!	http://www.crosswordgiant.com/crossword-clue/1053506/Its-not-there-you-see
It may not be so hard, you see	http://www.crosswordgiant.com/crossword-clue/1053846/It-may-not-be-so-hard-you-see
Is it not this that you give when you're going?	http://www.crosswordgiant.com/crossword-clue/1054313/Is-it-not-this-that-you-give-when-youre-going
One goes off to this for work when it's cold	http://www.crosswordgiant.com/crossword-clue/1057338/One-goes-off-to-this-for-work-when-its-cold
It's hard to get off this for work	http://www.crosswordgiant.com/crossword-clue/1058637/Its-hard-to-get-off-this-for-work
Can you see that it's not this that's cold?	http://www.crosswordgiant.com/crossword-clue/1059551/Can-you-see-that-its-not-this-thats-cold
It's hard to get to the bottom of 18 down	http://www.crosswordgiant.com/crossword-clue/1060165/Its-hard-to-get-to-the-bottom-of-18-down
You'll see it's not for the thaw	http://www.crosswordgiant.com/crossword-clue/1061380/Youll-see-its-not-for-the-thaw
It's hard to have got off with doing some work there	http://www.crosswordgiant.com/crossword-clue/1063007/Its-hard-to-have-got-off-with-doing-some-work-there
Hard to see how this could follow 14 down	http://www.crosswordgiant.com/crossword-clue/1063715/Hard-to-see-how-this-could-follow-14-down
It's not so hot to be so hard and get so bad after five	http://www.crosswordgiant.com/crossword-clue/1064950/Its-not-so-hot-to-be-so-hard-and-get-so-bad-after-five
It's hard to find such land in the Atlantic	http://www.crosswordgiant.com/crossword-clue/1065359/Its-hard-to-find-such-land-in-the-Atlantic
It's not this to 17 down	http://www.crosswordgiant.com/crossword-clue/1066732/Its-not-this-to-17-down
The north makes it so welcome to be so cold	http://www.crosswordgiant.com/crossword-clue/1067706/The-north-makes-it-so-welcome-to-be-so-cold
You'll see that it's not this that's not hot	http://www.crosswordgiant.com/crossword-clue/1068511/Youll-see-that-its-not-this-thats-not-hot
Cold enough, that is to say, to go about a century	http://www.crosswordgiant.com/crossword-clue/1069524/Cold-enough-that-is-to-say-to-go-about-a-century
It's hard to find this among 16 across and 6 down	http://www.crosswordgiant.com/crossword-clue/1070128/Its-hard-to-find-this-among-16-across-and-6-down
It's not that hard, see?	http://www.crosswordgiant.com/crossword-clue/1072378/Its-not-that-hard-see
It's hard to get off to this for work	http://www.crosswordgiant.com/crossword-clue/1073714/Its-hard-to-get-off-to-this-for-work
It's hard, that is to say, about a century	http://www.crosswordgiant.com/crossword-clue/1074253/Its-hard-that-is-to-say-about-a-century
That has the sound of a Sunday	http://www.crosswordgiant.com/crossword-clue/1074981/That-has-the-sound-of-a-Sunday
It's not that that would make one see how hard it is	http://www.crosswordgiant.com/crossword-clue/1076173/Its-not-that-that-would-make-one-see-how-hard-it-is
Off this, there's work to be done there, and it's hard	http://www.crosswordgiant.com/crossword-clue/1078348/Off-this-theres-work-to-be-done-there-and-its-hard
May be a hard bit in the hard stuff	http://www.crosswordgiant.com/crossword-clue/1078543/May-be-a-hard-bit-in-the-hard-stuff
It's not this,you see, that's in the drink	http://www.crosswordgiant.com/crossword-clue/1078945/Its-not-thisyou-see-thats-in-the-drink
It's hard to see how thie could follow 15 across	http://www.crosswordgiant.com/crossword-clue/1079146/Its-hard-to-see-how-thie-could-follow-15-across
Not this for the sound of the sea that's cold	http://www.crosswordgiant.com/crossword-clue/1079712/Not-this-for-the-sound-of-the-sea-thats-cold
Not this, you see, is not so hot	http://www.crosswordgiant.com/crossword-clue/1083847/Not-this-you-see-is-not-so-hot
Or if this might be the whole of it by the sound of it	http://www.crosswordgiant.com/crossword-clue/1086310/Or-if-this-might-be-the-whole-of-it-by-the-sound-of-it
Sort of water that has no 5 down	http://www.crosswordgiant.com/crossword-clue/1087467/Sort-of-water-that-has-no-5-down
How hard it is to get to the end of 1 across (3)	http://www.crosswordgiant.com/crossword-clue/1088701/How-hard-it-is-to-get-to-the-end-of-1-across-3
When it's cold it is hard	http://www.crosswordgiant.com/crossword-clue/1089305/When-its-cold-it-is-hard
Nov. could start this at the start - that's a hard one	http://www.crosswordgiant.com/crossword-clue/1089704/Nov.-could-start-this-at-the-start-thats-a-hard-one
It's not this, you see, that's cold	http://www.crosswordgiant.com/crossword-clue/1092281/Its-not-this-you-see-thats-cold
It's hard that it would not be with this to see	http://www.crosswordgiant.com/crossword-clue/1095537/Its-hard-that-it-would-not-be-with-this-to-see
Off to work there, even when there's a frost	http://www.crosswordgiant.com/crossword-clue/1095939/Off-to-work-there-even-when-theres-a-frost
Or if this could be the whole of it, by the sound of it, if it's hard	http://www.crosswordgiant.com/crossword-clue/1096668/Or-if-this-could-be-the-whole-of-it-by-the-sound-of-it-if-its-hard
See, it's not so hard and not so hot	http://www.crosswordgiant.com/crossword-clue/1099291/See-its-not-so-hard-and-not-so-hot
It's not this hard, you see	http://www.crosswordgiant.com/crossword-clue/1099699/Its-not-this-hard-you-see
Not so soft and not so hot	http://www.crosswordgiant.com/crossword-clue/1101092/Not-so-soft-and-not-so-hot
It's not this that's hard, you see	http://www.crosswordgiant.com/crossword-clue/1102687/Its-not-this-thats-hard-you-see
This is hard, but not this, see?	http://www.crosswordgiant.com/crossword-clue/1104754/This-is-hard-but-not-this-see
See to it that's not this that's frozen	http://www.crosswordgiant.com/crossword-clue/1105544/See-to-it-thats-not-this-thats-frozen
Is not this hard to see?	http://www.crosswordgiant.com/crossword-clue/1106130/Is-not-this-hard-to-see
It's not to see that this is real cool	http://www.crosswordgiant.com/crossword-clue/1107936/Its-not-to-see-that-this-is-real-cool
It's not this that's hard to see	http://www.crosswordgiant.com/crossword-clue/1108134/Its-not-this-thats-hard-to-see
Art, if it gets to this, is just a trick	http://www.crosswordgiant.com/crossword-clue/1108334/Art-if-it-gets-to-this-is-just-a-trick
It's not so hot to be so cold and hard	http://www.crosswordgiant.com/crossword-clue/1111095/Its-not-so-hot-to-be-so-cold-and-hard
How hard that one will always get a cold from it	http://www.crosswordgiant.com/crossword-clue/1111463/How-hard-that-one-will-always-get-a-cold-from-it
It's hard how evil this could be after five	http://www.crosswordgiant.com/crossword-clue/1111853/Its-hard-how-evil-this-could-be-after-five
It's not this, you see	http://www.crosswordgiant.com/crossword-clue/1113267/Its-not-this-you-see
It's not the sound of the C that's so cold	http://www.crosswordgiant.com/crossword-clue/1113664/Its-not-the-sound-of-the-C-thats-so-cold
Not so hot to be so hard in drink	http://www.crosswordgiant.com/crossword-clue/1114260/Not-so-hot-to-be-so-hard-in-drink
It's not this that's hard to regard	http://www.crosswordgiant.com/crossword-clue/1115942/Its-not-this-thats-hard-to-regard
It's never so hot to get just this from the court	http://www.crosswordgiant.com/crossword-clue/1116207/Its-never-so-hot-to-get-just-this-from-the-court
However hard, it's not this, see	http://www.crosswordgiant.com/crossword-clue/1118714/However-hard-its-not-this-see
It's hard to get off with this for work when it's so cold	http://www.crosswordgiant.com/crossword-clue/1120679/Its-hard-to-get-off-with-this-for-work-when-its-so-cold
It's not this, see, that makes the water hard	http://www.crosswordgiant.com/crossword-clue/1123411/Its-not-this-see-that-makes-the-water-hard
Hard to get to the end of 13 across - cold, too (3)	http://www.crosswordgiant.com/crossword-clue/1126319/Hard-to-get-to-the-end-of-13-across-cold-too-3
See that it's not so hard as this	http://www.crosswordgiant.com/crossword-clue/1128073/See-that-its-not-so-hard-as-this
Nice at last to have it 21 down	http://www.crosswordgiant.com/crossword-clue/1130041/Nice-at-last-to-have-it-21-down
Hard to make it with no heat	http://www.crosswordgiant.com/crossword-clue/1130225/Hard-to-make-it-with-no-heat
Sounds as if one frees this, but it's hard	http://www.crosswordgiant.com/crossword-clue/1131028/Sounds-as-if-one-frees-this-but-its-hard
It's not this that's hard, see	http://www.crosswordgiant.com/crossword-clue/1132974/Its-not-this-thats-hard-see
It's not so hot to have it in a drink	http://www.crosswordgiant.com/crossword-clue/1133950/Its-not-so-hot-to-have-it-in-a-drink
It's not this, see, that's not so hot	http://www.crosswordgiant.com/crossword-clue/1134308/Its-not-this-see-thats-not-so-hot
Being off this is not being off work there	http://www.crosswordgiant.com/crossword-clue/1134499/Being-off-this-is-not-being-off-work-there
See it's not this	http://www.crosswordgiant.com/crossword-clue/1134957/See-its-not-this
It's hard, but it's not this, see	http://www.crosswordgiant.com/crossword-clue/1139699/Its-hard-but-its-not-this-see
See, it's not this that's not so hot	http://www.crosswordgiant.com/crossword-clue/1141665/See-its-not-this-thats-not-so-hot
See that it's not this that makes the water hard	http://www.crosswordgiant.com/crossword-clue/1146112/See-that-its-not-this-that-makes-the-water-hard
See that it's not coming out of the deep-freeze	http://www.crosswordgiant.com/crossword-clue/1147088/See-that-its-not-coming-out-of-the-deep-freeze
It's hard to keep things on this	http://www.crosswordgiant.com/crossword-clue/1148259/Its-hard-to-keep-things-on-this
It's not this, you see, that's so cold	http://www.crosswordgiant.com/crossword-clue/1150584/Its-not-this-you-see-thats-so-cold
Not as cold as this, see?	http://www.crosswordgiant.com/crossword-clue/1152923/Not-as-cold-as-this-see
See that it's not this that hasn't melted	http://www.crosswordgiant.com/crossword-clue/1153697/See-that-its-not-this-that-hasnt-melted
It's not this that's hard, see?	http://www.crosswordgiant.com/crossword-clue/1154278/Its-not-this-thats-hard-see
Off this one gets on with the work there	http://www.crosswordgiant.com/crossword-clue/1155778/Off-this-one-gets-on-with-the-work-there
It's hard, but not hard to make 15 across of it (3)	http://www.crosswordgiant.com/crossword-clue/1155936/Its-hard-but-not-hard-to-make-15-across-of-it-3
You'll see that it's not this that's hard to be so cold	http://www.crosswordgiant.com/crossword-clue/1162182/Youll-see-that-its-not-this-thats-hard-to-be-so-cold
Not with this will you see the water is hard	http://www.crosswordgiant.com/crossword-clue/1162569/Not-with-this-will-you-see-the-water-is-hard
Hard as a rock and not so hot	http://www.crosswordgiant.com/crossword-clue/1162962/Hard-as-a-rock-and-not-so-hot
3 down?	http://www.crosswordgiant.com/crossword-clue/1163160/3-down
It would be not like this to see how cold it is	http://www.crosswordgiant.com/crossword-clue/1165314/It-would-be-not-like-this-to-see-how-cold-it-is
By the sound of it, frees the hard way	http://www.crosswordgiant.com/crossword-clue/1165509/By-the-sound-of-it-frees-the-hard-way
You'd see this if it were not so frozen	http://www.crosswordgiant.com/crossword-clue/1167930/Youd-see-this-if-it-were-not-so-frozen
'Not so cold, see? (3)'	http://www.crosswordgiant.com/crossword-clue/1171259/Not-so-cold-see-3
You'll see that it's not this that makes hard water	http://www.crosswordgiant.com/crossword-clue/1172051/Youll-see-that-its-not-this-that-makes-hard-water
Arctic pier material	http://www.crosswordgiant.com/crossword-clue/1193367/Arctic-pier-material
Glacier, essentially	http://www.crosswordgiant.com/crossword-clue/1193859/Glacier-essentially
Bartender's "rocks"	http://www.crosswordgiant.com/crossword-clue/1201936/Bartenders-rocks
Blocks from the refrigerator	http://www.crosswordgiant.com/crossword-clue/1204044/Blocks-from-the-refrigerator
Berg makeup	http://www.crosswordgiant.com/crossword-clue/1205991/Berg-makeup
It clinks in drinks	http://www.crosswordgiant.com/crossword-clue/1207903/It-clinks-in-drinks
Ship navigation hazard	http://www.crosswordgiant.com/crossword-clue/1210240/Ship-navigation-hazard
With 3-Down, Bud product	http://www.crosswordgiant.com/crossword-clue/1212887/With-3-Down-Bud-product
Winter sculpture medium	http://www.crosswordgiant.com/crossword-clue/1215601/Winter-sculpture-medium
Diamonds, as it were	http://www.crosswordgiant.com/crossword-clue/1216493/Diamonds-as-it-were
It's found in rinks and drinks	http://www.crosswordgiant.com/crossword-clue/1218202/Its-found-in-rinks-and-drinks
Nail down or cool down	http://www.crosswordgiant.com/crossword-clue/1222645/Nail-down-or-cool-down
Curling venue	http://www.crosswordgiant.com/crossword-clue/1222815/Curling-venue
Trump ___ (defunct bottled water brand)	http://www.crosswordgiant.com/crossword-clue/1227164/Trump-___-defunct-bottled-water-brand
Winter road hazard	http://www.crosswordgiant.com/crossword-clue/1230561/Winter-road-hazard
34-Across's realm	http://www.crosswordgiant.com/crossword-clue/1236972/34-Acrosss-realm
Hailstones, essentially	http://www.crosswordgiant.com/crossword-clue/1239182/Hailstones-essentially
Water, when it gets cold enough	http://www.crosswordgiant.com/crossword-clue/1241285/Water-when-it-gets-cold-enough
Makeup of some sheets	http://www.crosswordgiant.com/crossword-clue/1242218/Makeup-of-some-sheets
Beverage cooler	http://www.crosswordgiant.com/crossword-clue/1245380/Beverage-cooler
