Actor Baldwin	crosswordtracker.com/clue/actor-baldwin/
Never had a mother - that's what he was	http://www.crosswordgiant.com/crossword-clue/1084467/Never-had-a-mother-thats-what-he-was
Motherly man?	http://www.crosswordgiant.com/crossword-clue/1086644/Motherly-man
Father came back for mother and father	http://www.crosswordgiant.com/crossword-clue/1087409/Father-came-back-for-mother-and-father
Mother? Never!	http://www.crosswordgiant.com/crossword-clue/1092941/Mother-Never
The first to put a stop to Mother, he is	http://www.crosswordgiant.com/crossword-clue/1106865/The-first-to-put-a-stop-to-Mother-he-is
Was he the first to get to 10 across?	http://www.crosswordgiant.com/crossword-clue/1109389/Was-he-the-first-to-get-to-10-across
The first man not to have a mother like this	http://www.crosswordgiant.com/crossword-clue/1113802/The-first-man-not-to-have-a-mother-like-this
Father that's Mother there in 15 across	http://www.crosswordgiant.com/crossword-clue/1135713/Father-thats-Mother-there-in-15-across
Your Ma? No, your Da	http://www.crosswordgiant.com/crossword-clue/1151294/Your-Ma-No-your-Da
'A mother? No, a father (4)'	http://www.crosswordgiant.com/crossword-clue/1172931/A-mother-No-a-father-4
Man without parents	http://www.crosswordgiant.com/crossword-clue/1191700/Man-without-parents
Man who's first in line?	http://www.crosswordgiant.com/crossword-clue/1192390/Man-whos-first-in-line
West of "Batman"	http://www.crosswordgiant.com/crossword-clue/1195572/West-of-Batman
Genesis gent	http://www.crosswordgiant.com/crossword-clue/1196097/Genesis-gent
Seth's father	http://www.crosswordgiant.com/crossword-clue/1196414/Seths-father
22 Across dweller	http://www.crosswordgiant.com/crossword-clue/1201737/22-Across-dweller
Genesis 2 name	http://www.crosswordgiant.com/crossword-clue/1208483/Genesis-2-name
"The Wedding Singer" star Sandler	http://www.crosswordgiant.com/crossword-clue/1212911/The-Wedding-Singer-star-Sandler
Sandler of "Grown Ups"	http://www.crosswordgiant.com/crossword-clue/1219166/Sandler-of-Grown-Ups
Founding father?	http://www.crosswordgiant.com/crossword-clue/1223469/Founding-father
Original donor	http://www.crosswordgiant.com/crossword-clue/1230300/Original-donor
Someone with a first-person account?	http://www.crosswordgiant.com/crossword-clue/1231249/Someone-with-a-first-person-account
First, Father gets a barrier	http://www.crosswordgiant.com/crossword-clue/1233150/First-Father-gets-a-barrier
A barrier first of all?	http://www.crosswordgiant.com/crossword-clue/1235619/A-barrier-first-of-all
___ and Steve (variation on a biblical pair)	http://www.crosswordgiant.com/crossword-clue/1236181/___-and-Steve-variation-on-a-biblical-pair
Australian golfer __ Scott	http://www.crosswordgiant.com/crossword-clue/1241511/Australian-golfer-__-Scott
... and his dad	http://www.crosswordgiant.com/crossword-clue/1244738/...-and-his-dad
Noted rib donor	http://www.crosswordgiant.com/crossword-clue/1247076/Noted-rib-donor
A mother for the first orphan?	http://www.crosswordgiant.com/crossword-clue/1264816/A-mother-for-the-first-orphan
First man to be a mother	http://www.crosswordgiant.com/crossword-clue/1282065/First-man-to-be-a-mother
A mother for a motherless man	http://www.crosswordgiant.com/crossword-clue/1282998/A-mother-for-a-motherless-man
A mother provided for one who lacked one	http://www.crosswordgiant.com/crossword-clue/1285149/A-mother-provided-for-one-who-lacked-one
Female married the first man to appear	http://www.crosswordgiant.com/crossword-clue/1285558/Female-married-the-first-man-to-appear
Man taking part had a magnificent physique	http://www.crosswordgiant.com/crossword-clue/1288531/Man-taking-part-had-a-magnificent-physique
He designed a water container	http://www.crosswordgiant.com/crossword-clue/1289851/He-designed-a-water-container
Early male requires a mother	http://www.crosswordgiant.com/crossword-clue/1291750/Early-male-requires-a-mother
A girl married him	http://www.crosswordgiant.com/crossword-clue/1297630/A-girl-married-him
A mother for one who was motherless	http://www.crosswordgiant.com/crossword-clue/1308166/A-mother-for-one-who-was-motherless
Resident of Paradise Avenue's westernmost block	http://www.crosswordgiant.com/crossword-clue/1311875/Resident-of-Paradise-Avenues-westernmost-block
Credit the pair who came first?	http://www.crosswordgiant.com/crossword-clue/1315681/Credit-the-pair-who-came-first
A crazy, upwardly-mobile architect	http://www.crosswordgiant.com/crossword-clue/1341721/A-crazy-upwardly-mobile-architect
Early man	http://www.crosswordgiant.com/crossword-clue/1350489/Early-man
One of our common ancestors?	http://www.crosswordgiant.com/crossword-clue/1355538/One-of-our-common-ancestors
First man in the Bible	http://www.crosswordgiant.com/crossword-clue/1378596/First-man-in-the-Bible
Biblical progenitor of human race	http://www.crosswordgiant.com/crossword-clue/1379573/Biblical-progenitor-of-human-race
First mother to first father	http://www.crosswordgiant.com/crossword-clue/1403849/First-mother-to-first-father
Sistine Chapel chap	http://www.crosswordgiant.com/crossword-clue/1421150/Sistine-Chapel-chap
He has an apple named after him?	http://www.crosswordgiant.com/crossword-clue/1423066/He-has-an-apple-named-after-him
First of its kind?	http://www.crosswordgiant.com/crossword-clue/1437927/First-of-its-kind
Genesis father of three	http://www.crosswordgiant.com/crossword-clue/1438629/Genesis-father-of-three
First given name in the Bible	http://www.crosswordgiant.com/crossword-clue/1442909/First-given-name-in-the-Bible
Sandler of comedy	http://www.crosswordgiant.com/crossword-clue/1447653/Sandler-of-comedy
Scott of 'Parks and Recreation' [The AV Club goes subscription only soon! Sign up at avxword.com]	http://www.crosswordgiant.com/crossword-clue/1460325/Scott-of-Parks-and-Recreation-The-AV-Club-goes-subscription-only-soon-Sign-up-at-avxword.com
'___ / Had 'em' (classic two-line poem about fleas)	http://www.crosswordgiant.com/crossword-clue/1468610/___-Had-em-classic-two-line-poem-about-fleas
West who played Batman	http://www.crosswordgiant.com/crossword-clue/1468940/West-who-played-Batman
First person with Borges leaves board games	http://www.crosswordgiant.com/crossword-clue/1477514/First-person-with-Borges-leaves-board-games
"Batman" star West	http://www.crosswordgiant.com/crossword-clue/1493961/Batman-star-West
Pop singer Lambert	http://www.crosswordgiant.com/crossword-clue/1494766/Pop-singer-Lambert
___ Yauch (real name of 24-Across)	http://www.crosswordgiant.com/crossword-clue/1496283/___-Yauch-real-name-of-24-Across
Economics pioneer Smith	http://www.crosswordgiant.com/crossword-clue/1498745/Economics-pioneer-Smith
Man on the ceiling of the Sistine Chapel	http://www.crosswordgiant.com/crossword-clue/1501823/Man-on-the-ceiling-of-the-Sistine-Chapel
