Kind of party	crosswordtracker.com/clue/kind-of-party/
It may be spiced	http://www.crosswordgiant.com/crossword-clue/76599/It-may-be-spiced
Part of a baby bottle	http://www.crosswordgiant.com/crossword-clue/78752/Part-of-a-baby-bottle
Social service?	http://www.crosswordgiant.com/crossword-clue/79887/Social-service
Flight attendant's offering	http://www.crosswordgiant.com/crossword-clue/81724/Flight-attendants-offering
Brewer's brew	http://www.crosswordgiant.com/crossword-clue/85140/Brewers-brew
It may be for two	http://www.crosswordgiant.com/crossword-clue/111190/It-may-be-for-two
Beverage order	http://www.crosswordgiant.com/crossword-clue/115028/Beverage-order
See 52-Across	http://www.crosswordgiant.com/crossword-clue/120595/See-52-Across
Word with caddy or bag	http://www.crosswordgiant.com/crossword-clue/122980/Word-with-caddy-or-bag
Leaves in the cup	http://www.crosswordgiant.com/crossword-clue/127815/Leaves-in-the-cup
Chinese restaurant drink	http://www.crosswordgiant.com/crossword-clue/130870/Chinese-restaurant-drink
Pot product	http://www.crosswordgiant.com/crossword-clue/135909/Pot-product
Congou or souchong	http://www.crosswordgiant.com/crossword-clue/135988/Congou-or-souchong
Boston brew?	http://www.crosswordgiant.com/crossword-clue/140149/Boston-brew
Kind of garden	http://www.crosswordgiant.com/crossword-clue/141905/Kind-of-garden
___ caddy	http://www.crosswordgiant.com/crossword-clue/143194/___-caddy
Word with black or green	http://www.crosswordgiant.com/crossword-clue/145467/Word-with-black-or-green
Indonesian export	http://www.crosswordgiant.com/crossword-clue/149742/Indonesian-export
It may be brewing	http://www.crosswordgiant.com/crossword-clue/151446/It-may-be-brewing
It may be iced or spiced	http://www.crosswordgiant.com/crossword-clue/153640/It-may-be-iced-or-spiced
Brighton break	http://www.crosswordgiant.com/crossword-clue/156236/Brighton-break
British break	http://www.crosswordgiant.com/crossword-clue/158430/British-break
First product of 53-Down	http://www.crosswordgiant.com/crossword-clue/161493/First-product-of-53-Down
It comes in bags	http://www.crosswordgiant.com/crossword-clue/170575/It-comes-in-bags
It's effective when it gets in hot water	http://www.crosswordgiant.com/crossword-clue/170703/Its-effective-when-it-gets-in-hot-water
4:00 event, in London	http://www.crosswordgiant.com/crossword-clue/170894/400-event-in-London
Leaves for the future?	http://www.crosswordgiant.com/crossword-clue/172295/Leaves-for-the-future
Hatter affair	http://www.crosswordgiant.com/crossword-clue/186949/Hatter-affair
A&P's original business	http://www.crosswordgiant.com/crossword-clue/187435/APs-original-business
Blue mountain ___ (goldenrod)	http://www.crosswordgiant.com/crossword-clue/189327/Blue-mountain-___-goldenrod
Drink with a bag	http://www.crosswordgiant.com/crossword-clue/189336/Drink-with-a-bag
Quaint get-together	http://www.crosswordgiant.com/crossword-clue/189442/Quaint-get-together
Chinese drink	http://www.crosswordgiant.com/crossword-clue/195639/Chinese-drink
Caffeinated brew	http://www.crosswordgiant.com/crossword-clue/207840/Caffeinated-brew
Lemon ___	http://www.crosswordgiant.com/crossword-clue/207954/Lemon-___
Britain's ___ Act of 1773	http://www.crosswordgiant.com/crossword-clue/210673/Britains-___-Act-of-1773
Midafternoon repast	http://www.crosswordgiant.com/crossword-clue/211212/Midafternoon-repast
Product once harbored in Boston?	http://www.crosswordgiant.com/crossword-clue/215504/Product-once-harbored-in-Boston
Assam product	http://www.crosswordgiant.com/crossword-clue/217949/Assam-product
Samovar serving	http://www.crosswordgiant.com/crossword-clue/218212/Samovar-serving
Good source of antioxidants	http://www.crosswordgiant.com/crossword-clue/228500/Good-source-of-antioxidants
1773 castoff	http://www.crosswordgiant.com/crossword-clue/228684/1773-castoff
Crumpet companion	http://www.crosswordgiant.com/crossword-clue/230814/Crumpet-companion
Caffeine provider	http://www.crosswordgiant.com/crossword-clue/232309/Caffeine-provider
Green brew	http://www.crosswordgiant.com/crossword-clue/233980/Green-brew
Start with spoons and cups?	http://www.crosswordgiant.com/crossword-clue/236735/Start-with-spoons-and-cups
Leaves for a drink from a bag?	http://www.crosswordgiant.com/crossword-clue/240919/Leaves-for-a-drink-from-a-bag
Beverage choice	http://www.crosswordgiant.com/crossword-clue/247412/Beverage-choice
Colonists' castoff	http://www.crosswordgiant.com/crossword-clue/253621/Colonists-castoff
It may be served with crumpets	http://www.crosswordgiant.com/crossword-clue/256784/It-may-be-served-with-crumpets
Word with bag or cup	http://www.crosswordgiant.com/crossword-clue/257171/Word-with-bag-or-cup
It may be green or black	http://www.crosswordgiant.com/crossword-clue/257246/It-may-be-green-or-black
Crumpet eater's quaff	http://www.crosswordgiant.com/crossword-clue/259387/Crumpet-eaters-quaff
Healthful drink	http://www.crosswordgiant.com/crossword-clue/265466/Healthful-drink
It may be herbal	http://www.crosswordgiant.com/crossword-clue/266905/It-may-be-herbal
Break in England	http://www.crosswordgiant.com/crossword-clue/276715/Break-in-England
After-dinner serving	http://www.crosswordgiant.com/crossword-clue/285752/After-dinner-serving
Word with cake or party	http://www.crosswordgiant.com/crossword-clue/286690/Word-with-cake-or-party
Leaves for a break?	http://www.crosswordgiant.com/crossword-clue/289737/Leaves-for-a-break
Drink with one lump or two	http://www.crosswordgiant.com/crossword-clue/290062/Drink-with-one-lump-or-two
Caddy contents	http://www.crosswordgiant.com/crossword-clue/292944/Caddy-contents
Leaves for the diner	http://www.crosswordgiant.com/crossword-clue/293776/Leaves-for-the-diner
What's brewing, perhaps	http://www.crosswordgiant.com/crossword-clue/295155/Whats-brewing-perhaps
Chai, e.g.	http://www.crosswordgiant.com/crossword-clue/297295/Chai-e.g
Oolong, e.g.	http://www.crosswordgiant.com/crossword-clue/298759/Oolong-e.g
British time	http://www.crosswordgiant.com/crossword-clue/302693/British-time
English breakfast, e.g.	http://www.crosswordgiant.com/crossword-clue/304438/English-breakfast-e.g
It's bagged in the supermarket, often	http://www.crosswordgiant.com/crossword-clue/305372/Its-bagged-in-the-supermarket-often
English break	http://www.crosswordgiant.com/crossword-clue/306558/English-break
Scone accompaniment	http://www.crosswordgiant.com/crossword-clue/329933/Scone-accompaniment
Scone's go-with	http://www.crosswordgiant.com/crossword-clue/331054/Scones-go-with
Word with spoon or cup	http://www.crosswordgiant.com/crossword-clue/335550/Word-with-spoon-or-cup
Society event	http://www.crosswordgiant.com/crossword-clue/336606/Society-event
Brighton brew	http://www.crosswordgiant.com/crossword-clue/338993/Brighton-brew
Time in London?	http://www.crosswordgiant.com/crossword-clue/339964/Time-in-London
Souchong, e.g.	http://www.crosswordgiant.com/crossword-clue/342400/Souchong-e.g
Kind of cart	http://www.crosswordgiant.com/crossword-clue/363832/Kind-of-cart
Boston Harbor jetsam	http://www.crosswordgiant.com/crossword-clue/364886/Boston-Harbor-jetsam
Twinings offering	http://www.crosswordgiant.com/crossword-clue/372930/Twinings-offering
Cozy intro?	http://www.crosswordgiant.com/crossword-clue/377419/Cozy-intro
Chamomile, e.g.	http://www.crosswordgiant.com/crossword-clue/379464/Chamomile-e.g
Tazo, e.g.	http://www.crosswordgiant.com/crossword-clue/380052/Tazo-e.g
Sipped drink	http://www.crosswordgiant.com/crossword-clue/381223/Sipped-drink
Pot leaves	http://www.crosswordgiant.com/crossword-clue/382761/Pot-leaves
British beverage	http://www.crosswordgiant.com/crossword-clue/385672/British-beverage
Drink served hot or cold	http://www.crosswordgiant.com/crossword-clue/386130/Drink-served-hot-or-cold
Kind of bag or ball	http://www.crosswordgiant.com/crossword-clue/390499/Kind-of-bag-or-ball
Actress Leoni	http://www.crosswordgiant.com/crossword-clue/390729/Actress-Leoni
It was once harbored in Boston	http://www.crosswordgiant.com/crossword-clue/392031/It-was-once-harbored-in-Boston
Winter warmer upper	http://www.crosswordgiant.com/crossword-clue/392084/Winter-warmer-upper
Mad Hatter's affair	http://www.crosswordgiant.com/crossword-clue/392224/Mad-Hatters-affair
Between-meals reception	http://www.crosswordgiant.com/crossword-clue/393283/Between-meals-reception
With 45-Down, beverage dispenser	http://www.crosswordgiant.com/crossword-clue/398997/With-45-Down-beverage-dispenser
Texas ___ (oil)	http://www.crosswordgiant.com/crossword-clue/409444/Texas-___-oil
Beverage for a genteel affair, e.g.	http://www.crosswordgiant.com/crossword-clue/411018/Beverage-for-a-genteel-affair-e.g
Something overthrown shortly before the American Revolution	http://www.crosswordgiant.com/crossword-clue/414807/Something-overthrown-shortly-before-the-American-Revolution
Popular brew	http://www.crosswordgiant.com/crossword-clue/419857/Popular-brew
Potable	http://www.crosswordgiant.com/crossword-clue/421432/Potable
World's most popular drink	http://www.crosswordgiant.com/crossword-clue/422789/Worlds-most-popular-drink
Yunnan or Keemun, e.g.	http://www.crosswordgiant.com/crossword-clue/424423/Yunnan-or-Keemun-e.g
Word that can precede the start of 17- and 59-Across and 11- and 25-Down	http://www.crosswordgiant.com/crossword-clue/433455/Word-that-can-precede-the-start-of-17-and-59-Across-and-11-and-25-Down
Black __	http://www.crosswordgiant.com/crossword-clue/433990/Black-__
Red Zinger, for one	http://www.crosswordgiant.com/crossword-clue/434384/Red-Zinger-for-one
Crumpets' colleague	http://www.crosswordgiant.com/crossword-clue/435206/Crumpets-colleague
Leaves for a drink?	http://www.crosswordgiant.com/crossword-clue/437423/Leaves-for-a-drink
Brewer's product	http://www.crosswordgiant.com/crossword-clue/438183/Brewers-product
With 53-Down, ingredient in some soaps	http://www.crosswordgiant.com/crossword-clue/441879/With-53-Down-ingredient-in-some-soaps
Herb __	http://www.crosswordgiant.com/crossword-clue/443534/Herb-__
Leaves at 4?	http://www.crosswordgiant.com/crossword-clue/444150/Leaves-at-4
Lipton's line	http://www.crosswordgiant.com/crossword-clue/449376/Liptons-line
It's measured in spots?	http://www.crosswordgiant.com/crossword-clue/451269/Its-measured-in-spots
Mint __	http://www.crosswordgiant.com/crossword-clue/451521/Mint-__
Green or black	http://www.crosswordgiant.com/crossword-clue/452795/Green-or-black
Pekoe	http://www.crosswordgiant.com/crossword-clue/456059/Pekoe
Ubiquitous beverage	http://www.crosswordgiant.com/crossword-clue/458059/Ubiquitous-beverage
Indian export	http://www.crosswordgiant.com/crossword-clue/463145/Indian-export
Steeped drink	http://www.crosswordgiant.com/crossword-clue/463352/Steeped-drink
Pekoe purchase	http://www.crosswordgiant.com/crossword-clue/468037/Pekoe-purchase
Alternative to 56-Across	http://www.crosswordgiant.com/crossword-clue/470833/Alternative-to-56-Across
Jetsam in 1773	http://www.crosswordgiant.com/crossword-clue/474000/Jetsam-in-1773
Cozy do	http://www.crosswordgiant.com/crossword-clue/479683/Cozy-do
____ For Two	http://www.crosswordgiant.com/crossword-clue/480412/____-For-Two
Herbal __	http://www.crosswordgiant.com/crossword-clue/486491/Herbal-__
Universal beverage	http://www.crosswordgiant.com/crossword-clue/487987/Universal-beverage
4:00 affair	http://www.crosswordgiant.com/crossword-clue/488036/400-affair
4:00 get-together, in London	http://www.crosswordgiant.com/crossword-clue/491018/400-get-together-in-London
Herbal concoction	http://www.crosswordgiant.com/crossword-clue/491271/Herbal-concoction
English Breakfast or Orange Pekoe	http://www.crosswordgiant.com/crossword-clue/492589/English-Breakfast-or-Orange-Pekoe
58-across, thru the Chunnel	http://www.crosswordgiant.com/crossword-clue/493191/58-across-thru-the-Chunnel
Stuff in a ball	http://www.crosswordgiant.com/crossword-clue/493698/Stuff-in-a-ball
Mad Hatter's serving	http://www.crosswordgiant.com/crossword-clue/494082/Mad-Hatters-serving
Rooibos, for one	http://www.crosswordgiant.com/crossword-clue/498263/Rooibos-for-one
Mad Hatter's beverage	http://www.crosswordgiant.com/crossword-clue/501487/Mad-Hatters-beverage
It may require a cart and a caddy	http://www.crosswordgiant.com/crossword-clue/502276/It-may-require-a-cart-and-a-caddy
It may come in spots	http://www.crosswordgiant.com/crossword-clue/505604/It-may-come-in-spots
Famous party	http://www.crosswordgiant.com/crossword-clue/507077/Famous-party
Leaves for a drink?	http://www.crosswordgiant.com/crossword-clue/508465/Leaves-for-a-drink
Scone go-with	http://www.crosswordgiant.com/crossword-clue/513335/Scone-go-with
Drink in England	http://www.crosswordgiant.com/crossword-clue/515261/Drink-in-England
Dorset drink	http://www.crosswordgiant.com/crossword-clue/517701/Dorset-drink
March Hare's offering	http://www.crosswordgiant.com/crossword-clue/518659/March-Hares-offering
Blackpool break	http://www.crosswordgiant.com/crossword-clue/520669/Blackpool-break
__ set	http://www.crosswordgiant.com/crossword-clue/524403/__-set
Hot  drink	http://www.crosswordgiant.com/crossword-clue/525378/Hot-drink
British East India Company product	http://www.crosswordgiant.com/crossword-clue/526312/British-East-India-Company-product
Djarling or Pekoe	http://www.crosswordgiant.com/crossword-clue/527042/Djarling-or-Pekoe
One way to take opium	http://www.crosswordgiant.com/crossword-clue/527549/One-way-to-take-opium
Starbucks serves it	http://www.crosswordgiant.com/crossword-clue/530628/Starbucks-serves-it
New York's Russian ___ Room	http://www.crosswordgiant.com/crossword-clue/531894/New-Yorks-Russian-___-Room
Caffeinated drink	http://www.crosswordgiant.com/crossword-clue/532479/Caffeinated-drink
Bag of leaves?	http://www.crosswordgiant.com/crossword-clue/538637/Bag-of-leaves
Afternoon delight?	http://www.crosswordgiant.com/crossword-clue/548911/Afternoon-delight
Word with ball or party	http://www.crosswordgiant.com/crossword-clue/551366/Word-with-ball-or-party
Word with ball or caddy	http://www.crosswordgiant.com/crossword-clue/553228/Word-with-ball-or-caddy
____ as it should be!	http://www.crosswordgiant.com/crossword-clue/554067/____-as-it-should-be
Sri Lankan crop	http://www.crosswordgiant.com/crossword-clue/560162/Sri-Lankan-crop
4 p.m., in Kent	http://www.crosswordgiant.com/crossword-clue/561561/4-p.m.-in-Kent
It's steeped in tradition	http://www.crosswordgiant.com/crossword-clue/563141/Its-steeped-in-tradition
Historic Boston Harbor flotsam	http://www.crosswordgiant.com/crossword-clue/569743/Historic-Boston-Harbor-flotsam
It can be for two or for the Tillerman	http://www.crosswordgiant.com/crossword-clue/571864/It-can-be-for-two-or-for-the-Tillerman
Texas __: petroleum	http://www.crosswordgiant.com/crossword-clue/572392/Texas-__-petroleum
Major export from 45-Down	http://www.crosswordgiant.com/crossword-clue/582118/Major-export-from-45-Down
Pekoe or Djarling	http://www.crosswordgiant.com/crossword-clue/585577/Pekoe-or-Djarling
Hot beverage	http://www.crosswordgiant.com/crossword-clue/587941/Hot-beverage
''High'' beverage	http://www.crosswordgiant.com/crossword-clue/588896/High-beverage
Bag of leaves, perhaps	http://www.crosswordgiant.com/crossword-clue/592761/Bag-of-leaves-perhaps
Kettle contents	http://www.crosswordgiant.com/crossword-clue/595552/Kettle-contents
Surrey sip	http://www.crosswordgiant.com/crossword-clue/599041/Surrey-sip
4:00 drink	http://www.crosswordgiant.com/crossword-clue/602177/400-drink
1773 Boston Harbor jetsam	http://www.crosswordgiant.com/crossword-clue/605551/1773-Boston-Harbor-jetsam
What's in the bag?	http://www.crosswordgiant.com/crossword-clue/611781/Whats-in-the-bag
It may be taken in the afternoon	http://www.crosswordgiant.com/crossword-clue/613312/It-may-be-taken-in-the-afternoon
Spot from a pot?	http://www.crosswordgiant.com/crossword-clue/616575/Spot-from-a-pot
It's bagged in the grocery store	http://www.crosswordgiant.com/crossword-clue/620215/Its-bagged-in-the-grocery-store
Word after beef or cream	http://www.crosswordgiant.com/crossword-clue/622420/Word-after-beef-or-cream
Focus of a 1773 party	http://www.crosswordgiant.com/crossword-clue/624466/Focus-of-a-1773-party
Four p.m. affair	http://www.crosswordgiant.com/crossword-clue/627927/Four-p.m.-affair
Stash offering	http://www.crosswordgiant.com/crossword-clue/628229/Stash-offering
Word with ''bag'' or ''caddy''	http://www.crosswordgiant.com/crossword-clue/635896/Word-with-bag-or-caddy
Mad Hatter affair	http://www.crosswordgiant.com/crossword-clue/639010/Mad-Hatter-affair
Leaves in a vessel	http://www.crosswordgiant.com/crossword-clue/639271/Leaves-in-a-vessel
Earl Grey or Darjeeling	http://www.crosswordgiant.com/crossword-clue/644069/Earl-Grey-or-Darjeeling
Drink with a scone	http://www.crosswordgiant.com/crossword-clue/645310/Drink-with-a-scone
Chamomile, for one	http://www.crosswordgiant.com/crossword-clue/649492/Chamomile-for-one
It was once harbored in Boston?	http://www.crosswordgiant.com/crossword-clue/649970/It-was-once-harbored-in-Boston
Drink in the afternoon	http://www.crosswordgiant.com/crossword-clue/650665/Drink-in-the-afternoon
Celestial Seasonings offering	http://www.crosswordgiant.com/crossword-clue/652194/Celestial-Seasonings-offering
Word after green or gunpowder	http://www.crosswordgiant.com/crossword-clue/660167/Word-after-green-or-gunpowder
Leaves from China, often	http://www.crosswordgiant.com/crossword-clue/668967/Leaves-from-China-often
Caffeinated beverage	http://www.crosswordgiant.com/crossword-clue/669479/Caffeinated-beverage
Leaves in the pot?	http://www.crosswordgiant.com/crossword-clue/670802/Leaves-in-the-pot
With 49-Down, "Spanglish" actress	http://www.crosswordgiant.com/crossword-clue/673489/With-49-Down-Spanglish-actress
With 76D, "Spanglish" star	http://www.crosswordgiant.com/crossword-clue/674299/With-76D-Spanglish-star
Chanoyu drink	http://www.crosswordgiant.com/crossword-clue/675044/Chanoyu-drink
Mad Hatter's serving	http://www.crosswordgiant.com/crossword-clue/679613/Mad-Hatters-serving
Wonderland spot	http://www.crosswordgiant.com/crossword-clue/681387/Wonderland-spot
Pekoe or green	http://www.crosswordgiant.com/crossword-clue/682074/Pekoe-or-green
Hunan or dynamite	http://www.crosswordgiant.com/crossword-clue/682613/Hunan-or-dynamite
Mad Hatter's drink	http://www.crosswordgiant.com/crossword-clue/684128/Mad-Hatters-drink
It may be bagged	http://www.crosswordgiant.com/crossword-clue/685122/It-may-be-bagged
Afternoon drink, for many	http://www.crosswordgiant.com/crossword-clue/697082/Afternoon-drink-for-many
Event at which some people wear gloves	http://www.crosswordgiant.com/crossword-clue/698066/Event-at-which-some-people-wear-gloves
'___ With Mussolini' (Zeffirelli film)	http://www.crosswordgiant.com/crossword-clue/703810/___-With-Mussolini-Zeffirelli-film
Cup with crumpets	http://www.crosswordgiant.com/crossword-clue/707404/Cup-with-crumpets
Pinky-out drink	http://www.crosswordgiant.com/crossword-clue/707477/Pinky-out-drink
Something steeped	http://www.crosswordgiant.com/crossword-clue/708607/Something-steeped
Social beverage	http://www.crosswordgiant.com/crossword-clue/713029/Social-beverage
Bigelow offering	http://www.crosswordgiant.com/crossword-clue/715926/Bigelow-offering
What some caddies carry	http://www.crosswordgiant.com/crossword-clue/717329/What-some-caddies-carry
Leaves with dessert?	http://www.crosswordgiant.com/crossword-clue/717979/Leaves-with-dessert
49-Across product	http://www.crosswordgiant.com/crossword-clue/721900/49-Across-product
"___ with Mussolini" (1999 film)	http://www.crosswordgiant.com/crossword-clue/722596/___-with-Mussolini-1999-film
What the Hatter and the March Hare drank	http://www.crosswordgiant.com/crossword-clue/730601/What-the-Hatter-and-the-March-Hare-drank
Afternoon ritual	http://www.crosswordgiant.com/crossword-clue/730668/Afternoon-ritual
It's taken in spots	http://www.crosswordgiant.com/crossword-clue/731969/Its-taken-in-spots
Jasmine or Monk's Blend	http://www.crosswordgiant.com/crossword-clue/734949/Jasmine-or-Monks-Blend
Samovar beverage	http://www.crosswordgiant.com/crossword-clue/738581/Samovar-beverage
Social gathering	http://www.crosswordgiant.com/crossword-clue/741288/Social-gathering
What the Mad Hatter served	http://www.crosswordgiant.com/crossword-clue/743038/What-the-Mad-Hatter-served
Afternoon nosh	http://www.crosswordgiant.com/crossword-clue/743798/Afternoon-nosh
Soho social	http://www.crosswordgiant.com/crossword-clue/744299/Soho-social
Leaves held in the bag	http://www.crosswordgiant.com/crossword-clue/745316/Leaves-held-in-the-bag
__ service	http://www.crosswordgiant.com/crossword-clue/747496/__-service
Lipton option	http://www.crosswordgiant.com/crossword-clue/747963/Lipton-option
Chief crop of 1-Across	http://www.crosswordgiant.com/crossword-clue/753200/Chief-crop-of-1-Across
Bagged leaves?	http://www.crosswordgiant.com/crossword-clue/755161/Bagged-leaves
Submerged leaves	http://www.crosswordgiant.com/crossword-clue/757116/Submerged-leaves
It may be iced	http://www.crosswordgiant.com/crossword-clue/760180/It-may-be-iced
Bagged beverage	http://www.crosswordgiant.com/crossword-clue/761876/Bagged-beverage
Herbal preparation	http://www.crosswordgiant.com/crossword-clue/763429/Herbal-preparation
Black or green stuff	http://www.crosswordgiant.com/crossword-clue/765371/Black-or-green-stuff
Mad Hatter's serving	http://www.crosswordgiant.com/crossword-clue/766938/Mad-Hatters-serving
Spot from a pot	http://www.crosswordgiant.com/crossword-clue/770844/Spot-from-a-pot
Mid-afternoon drink	http://www.crosswordgiant.com/crossword-clue/772326/Mid-afternoon-drink
Cozy drink?	http://www.crosswordgiant.com/crossword-clue/773770/Cozy-drink
A&P's original business	http://www.crosswordgiant.com/crossword-clue/777695/APs-original-business
Hyson or oolong	http://www.crosswordgiant.com/crossword-clue/778227/Hyson-or-oolong
Dainty beverage	http://www.crosswordgiant.com/crossword-clue/778526/Dainty-beverage
__ party	http://www.crosswordgiant.com/crossword-clue/780677/__-party
March Hare's offering	http://www.crosswordgiant.com/crossword-clue/782019/March-Hares-offering
Something bagged in the pantry	http://www.crosswordgiant.com/crossword-clue/785683/Something-bagged-in-the-pantry
It can be black or green	http://www.crosswordgiant.com/crossword-clue/789791/It-can-be-black-or-green
Pekoe,for one	http://www.crosswordgiant.com/crossword-clue/792853/Pekoefor-one
Beverage served hot or cold	http://www.crosswordgiant.com/crossword-clue/794635/Beverage-served-hot-or-cold
Darjeeling drink	http://www.crosswordgiant.com/crossword-clue/795624/Darjeeling-drink
4:00 London social	http://www.crosswordgiant.com/crossword-clue/798570/400-London-social
White-glove affair	http://www.crosswordgiant.com/crossword-clue/799290/White-glove-affair
Kettle filler	http://www.crosswordgiant.com/crossword-clue/804060/Kettle-filler
Crumpets' partner	http://www.crosswordgiant.com/crossword-clue/804975/Crumpets-partner
Drink with a string in it, perhaps	http://www.crosswordgiant.com/crossword-clue/806723/Drink-with-a-string-in-it-perhaps
Drink with its own character in the Chinese alphabet	http://www.crosswordgiant.com/crossword-clue/808585/Drink-with-its-own-character-in-the-Chinese-alphabet
Beverage with scones	http://www.crosswordgiant.com/crossword-clue/816458/Beverage-with-scones
__ leaf	http://www.crosswordgiant.com/crossword-clue/816472/__-leaf
See 49 Down	http://www.crosswordgiant.com/crossword-clue/817451/See-49-Down
What the Mad Hatter pours on the Dormouse to wake it up	http://www.crosswordgiant.com/crossword-clue/820393/What-the-Mad-Hatter-pours-on-the-Dormouse-to-wake-it-up
Orange pekoe, e.g.	http://www.crosswordgiant.com/crossword-clue/822763/Orange-pekoe-e.g
4 p.m. drink	http://www.crosswordgiant.com/crossword-clue/825001/4-p.m.-drink
___ Party movement	http://www.crosswordgiant.com/crossword-clue/827479/___-Party-movement
Wonderland beverage	http://www.crosswordgiant.com/crossword-clue/832222/Wonderland-beverage
''Iced'' drink	http://www.crosswordgiant.com/crossword-clue/833630/Iced-drink
Afternoon meal, across the pond	http://www.crosswordgiant.com/crossword-clue/834793/Afternoon-meal-across-the-pond
Breakfast cupful	http://www.crosswordgiant.com/crossword-clue/837650/Breakfast-cupful
Crumpet's go-with	http://www.crosswordgiant.com/crossword-clue/842586/Crumpets-go-with
It's bagged at the market	http://www.crosswordgiant.com/crossword-clue/851017/Its-bagged-at-the-market
Drink in a pot	http://www.crosswordgiant.com/crossword-clue/854636/Drink-in-a-pot
Drink served in ''spots''	http://www.crosswordgiant.com/crossword-clue/855732/Drink-served-in-spots
Bag contents, often	http://www.crosswordgiant.com/crossword-clue/856772/Bag-contents-often
Crumpet accompaniment	http://www.crosswordgiant.com/crossword-clue/859489/Crumpet-accompaniment
Beverage with crumpets	http://www.crosswordgiant.com/crossword-clue/860275/Beverage-with-crumpets
It may be sun-brewed	http://www.crosswordgiant.com/crossword-clue/860436/It-may-be-sun-brewed
Reefer, in slang	http://www.crosswordgiant.com/crossword-clue/860472/Reefer-in-slang
Afternoon drink, for some	http://www.crosswordgiant.com/crossword-clue/862838/Afternoon-drink-for-some
Oolong or darjeeling	http://www.crosswordgiant.com/crossword-clue/864538/Oolong-or-darjeeling
Something to take in the afternoon	http://www.crosswordgiant.com/crossword-clue/865369/Something-to-take-in-the-afternoon
Coventry cupful	http://www.crosswordgiant.com/crossword-clue/867388/Coventry-cupful
Kind of party for Glenn Beck?	http://www.crosswordgiant.com/crossword-clue/873339/Kind-of-party-for-Glenn-Beck
Camellia sinensis product	http://www.crosswordgiant.com/crossword-clue/874179/Camellia-sinensis-product
Type of leaf or service	http://www.crosswordgiant.com/crossword-clue/881223/Type-of-leaf-or-service
Small bag of buds that might chill you out	http://www.crosswordgiant.com/crossword-clue/889656/Small-bag-of-buds-that-might-chill-you-out
It may be taken in a parlor	http://www.crosswordgiant.com/crossword-clue/890319/It-may-be-taken-in-a-parlor
Healthful quaff	http://www.crosswordgiant.com/crossword-clue/892004/Healthful-quaff
Beverage often served with lemon	http://www.crosswordgiant.com/crossword-clue/892665/Beverage-often-served-with-lemon
Kiwi's mealtime	http://www.crosswordgiant.com/crossword-clue/894055/Kiwis-mealtime
Red Rose beverage	http://www.crosswordgiant.com/crossword-clue/895588/Red-Rose-beverage
Green or black brew	http://www.crosswordgiant.com/crossword-clue/896306/Green-or-black-brew
British East India Co. monopoly	http://www.crosswordgiant.com/crossword-clue/901588/British-East-India-Co.-monopoly
Robert Anderson’s “___ and Sympathy”	http://www.crosswordgiant.com/crossword-clue/906624/Robert-Andersons-___-and-Sympathy
Word with "service" or "ceremony"	http://www.crosswordgiant.com/crossword-clue/906937/Word-with-service-or-ceremony
Oolong or Earl Grey	http://www.crosswordgiant.com/crossword-clue/911473/Oolong-or-Earl-Grey
Earl or Lady Grey	http://www.crosswordgiant.com/crossword-clue/911667/Earl-or-Lady-Grey
__ bag	http://www.crosswordgiant.com/crossword-clue/912105/__-bag
Sri Lanka crop	http://www.crosswordgiant.com/crossword-clue/913730/Sri-Lanka-crop
Drink with a 13 Across	http://www.crosswordgiant.com/crossword-clue/914895/Drink-with-a-13-Across
Bag content	http://www.crosswordgiant.com/crossword-clue/918351/Bag-content
Word with cozy or bag	http://www.crosswordgiant.com/crossword-clue/922847/Word-with-cozy-or-bag
Party for Palin	http://www.crosswordgiant.com/crossword-clue/923640/Party-for-Palin
4:00 English drink	http://www.crosswordgiant.com/crossword-clue/924823/400-English-drink
Product of the Camellia sinensis plant	http://www.crosswordgiant.com/crossword-clue/927701/Product-of-the-Camellia-sinensis-plant
Pot substance	http://www.crosswordgiant.com/crossword-clue/932858/Pot-substance
Leaves in the afternoon?	http://www.crosswordgiant.com/crossword-clue/933613/Leaves-in-the-afternoon
Drink offered to Alice	http://www.crosswordgiant.com/crossword-clue/935054/Drink-offered-to-Alice
Mad Hatter's brew	http://www.crosswordgiant.com/crossword-clue/936425/Mad-Hatters-brew
Beverage for Wallace and Gromit	http://www.crosswordgiant.com/crossword-clue/937671/Beverage-for-Wallace-and-Gromit
This towel is for drying dishes	http://www.crosswordgiant.com/crossword-clue/959032/This-towel-is-for-drying-dishes
Ate the drink?	http://www.crosswordgiant.com/crossword-clue/967737/Ate-the-drink
Strangely, ate this drink	http://www.crosswordgiant.com/crossword-clue/972943/Strangely-ate-this-drink
Drink made from leaves	http://www.crosswordgiant.com/crossword-clue/974281/Drink-made-from-leaves
Strangely, one may eat this drink	http://www.crosswordgiant.com/crossword-clue/992776/Strangely-one-may-eat-this-drink
Popular beverage brewed at home	http://www.crosswordgiant.com/crossword-clue/993151/Popular-beverage-brewed-at-home
Just a meal - eat up	http://www.crosswordgiant.com/crossword-clue/995257/Just-a-meal-eat-up
A light meal - eat up	http://www.crosswordgiant.com/crossword-clue/999827/A-light-meal-eat-up
Evening meal - eat up	http://www.crosswordgiant.com/crossword-clue/1013830/Evening-meal-eat-up
Afternoon or evening meal	http://www.crosswordgiant.com/crossword-clue/1016465/Afternoon-or-evening-meal
