Jumble	crosswordtracker.com/clue/jumble/
Banana cream, for one	http://www.crosswordgiant.com/crossword-clue/1233559/Banana-cream-for-one
Boston cream --	http://www.crosswordgiant.com/crossword-clue/1245281/Boston-cream-
Little Italy order	http://www.crosswordgiant.com/crossword-clue/1245659/Little-Italy-order
Crusty one	http://www.crosswordgiant.com/crossword-clue/1250589/Crusty-one
See 6	http://www.crosswordgiant.com/crossword-clue/1259508/See-6
Pasty - former Indian coin - mixed type - bird	http://www.crosswordgiant.com/crossword-clue/1350256/Pasty-former-Indian-coin-mixed-type-bird
Bird - dish - mixed type	http://www.crosswordgiant.com/crossword-clue/1352286/Bird-dish-mixed-type
Covered tart	http://www.crosswordgiant.com/crossword-clue/1367911/Covered-tart
Pastry dish	http://www.crosswordgiant.com/crossword-clue/1394424/Pastry-dish
Cherry or pizza creation	http://www.crosswordgiant.com/crossword-clue/1406957/Cherry-or-pizza-creation
You might throw it in someone's face	http://www.crosswordgiant.com/crossword-clue/1411795/You-might-throw-it-in-someones-face
A kind of chart	http://www.crosswordgiant.com/crossword-clue/1412723/A-kind-of-chart
Apple or banana cream dessert	http://www.crosswordgiant.com/crossword-clue/1413771/Apple-or-banana-cream-dessert
Saskatoon berry treat	http://www.crosswordgiant.com/crossword-clue/1424189/Saskatoon-berry-treat
It's often a la mode	http://www.crosswordgiant.com/crossword-clue/1425525/Its-often-a-la-mode
Chart genre	http://www.crosswordgiant.com/crossword-clue/1426055/Chart-genre
Home to 24 blackbirds baked in the sky	http://www.crosswordgiant.com/crossword-clue/1433161/Home-to-24-blackbirds-baked-in-the-sky
Pumpkin pastry	http://www.crosswordgiant.com/crossword-clue/1440575/Pumpkin-pastry
Pecan, e.g	http://www.crosswordgiant.com/crossword-clue/1447601/Pecan-e.g
À la mode serving	http://www.crosswordgiant.com/crossword-clue/1450785/-la-mode-serving
Chart model	http://www.crosswordgiant.com/crossword-clue/1455014/Chart-model
With 19-Across, item for many cobblers	http://www.crosswordgiant.com/crossword-clue/1456891/With-19-Across-item-for-many-cobblers
Dessert served in triangular slices	http://www.crosswordgiant.com/crossword-clue/1457791/Dessert-served-in-triangular-slices
Chart or plate preceder	http://www.crosswordgiant.com/crossword-clue/1459709/Chart-or-plate-preceder
Buster Keaton missile	http://www.crosswordgiant.com/crossword-clue/1462368/Buster-Keaton-missile
Dainty dish in 'Sing a Song of Sixpence'	http://www.crosswordgiant.com/crossword-clue/1462723/Dainty-dish-in-Sing-a-Song-of-Sixpence
Lemon meringue --	http://www.crosswordgiant.com/crossword-clue/1467582/Lemon-meringue-
Place for 24 blackbirds, in verse	http://www.crosswordgiant.com/crossword-clue/1468885/Place-for-24-blackbirds-in-verse
Lemon meringue, e.g	http://www.crosswordgiant.com/crossword-clue/1478374/Lemon-meringue-e.g
Budget chart shape	http://www.crosswordgiant.com/crossword-clue/1478613/Budget-chart-shape
Amount to be divvied up	http://www.crosswordgiant.com/crossword-clue/1493053/Amount-to-be-divvied-up
It may have a filling	http://www.crosswordgiant.com/crossword-clue/1497081/It-may-have-a-filling
Shoofly __	http://www.crosswordgiant.com/crossword-clue/1498155/Shoofly-__
The whole, symbolically	http://www.crosswordgiant.com/crossword-clue/1502147/The-whole-symbolically
